상호명,브랜드,is_starbucks,위도,경도,시군구명,도로명주소,dist_nearest_subway,num_subway_500m,nearest_subway_ridership,num_bus_stops_300m,subway_morning_peak_500m,subway_lunch_peak_500m,subway_evening_peak_500m,num_restaurants_500m,num_retail_500m,num_convenience_500m,independent_cafe_count_500m,low_price_cafe_count_500m,other_franchise_cafe_count_500m,dist_nearest_starbucks,avg_income,num_offices,living_population,land_price
역삼아레나빌딩,스타벅스,1,37.501087,127.043069,강남구,서울특별시 강남구 언주로 425 (역삼동),0.5857,0,97341.0,5,0.0,0.0,0.0,703,377,51,106,4,11,0.201126,5367397.0,55876.0,53114.0,15728217.0
논현역사거리,스타벅스,1,37.510178,127.022223,강남구,서울특별시 강남구 강남대로 538 (논현동),0.1242,1,37489.0,7,293312.0,121715.0,398997.0,787,493,46,119,5,9,0.203536,3277066.0,45242.0,39520.0,13166568.0
신사역성일빌딩,스타벅스,1,37.5139309,127.0206057,강남구,서울특별시 강남구 강남대로 584 (논현동),0.2707,2,53415.0,5,625806.0,368685.0,1098612.0,662,436,40,95,4,6,0.146373,3277066.0,45242.0,39520.0,13166568.0
국기원사거리,스타벅스,1,37.499517,127.031495,강남구,서울특별시 강남구 테헤란로 125 (역삼동),0.3864,2,173599.0,7,1808024.0,1019451.0,2962756.0,1146,726,58,176,7,17,0.185502,3607265.0,202016.0,98668.0,15728217.0
대치재경빌딩,스타벅스,1,37.494668,127.062583,강남구,서울특별시 강남구 남부순환로 2947 (대치동),0.0936,1,25331.0,8,138064.0,99400.0,243759.0,138,146,15,13,3,3,0.138769,7421305.0,18463.0,28611.0,14330204.0
봉은사역,스타벅스,1,37.515,127.063196,강남구,서울특별시 강남구 봉은사로 619 (삼성동),0.2744,1,47578.0,5,388275.0,270628.0,691592.0,192,90,12,41,0,8,0.275054,5098096.0,189339.0,41121.0,17309515.0
압구정윤성빌딩,스타벅스,1,37.5227934,127.0286009,강남구,서울특별시 강남구 논현로 834 (신사동),0.4759,1,62771.0,4,421054.0,298401.0,728460.0,658,560,31,110,5,11,0.132912,5808537.0,50479.0,39967.0,18576443.0
코엑스별마당,스타벅스,1,37.51015,127.060275,강남구,서울특별시 강남구 영동대로 513 (삼성동),0.293,3,104363.0,11,1958864.0,1175404.0,3200589.0,739,676,44,126,3,20,0.105592,5098096.0,189339.0,41121.0,17309515.0
삼성역섬유센터R,스타벅스,1,37.50775,127.060651,강남구,서울특별시 강남구 테헤란로 518 (대치동),0.2525,2,104363.0,8,1570589.0,904776.0,2508997.0,716,728,50,123,3,15,0.258976,6017362.0,102922.0,52052.0,14330204.0
압구정R,스타벅스,1,37.5273669,127.033061,강남구,서울특별시 강남구 언주로 861 (신사동),0.407,1,62771.0,7,421054.0,298401.0,728460.0,660,619,21,81,2,5,0.162788,5808537.0,50479.0,39967.0,18576443.0
수서역R,스타벅스,1,37.48802242,127.1029799,강남구,서울특별시 강남구 광평로 281 (수서동),0.1581,1,73830.0,15,403528.0,252115.0,629927.0,194,131,13,27,3,1,0.069309,3847379.0,19403.0,23671.0,3109935.0
양재강남빌딩R,스타벅스,1,37.485192,127.036685,강남구,서울특별시 강남구 남부순환로 2621 (도곡동),0.2423,1,83745.0,14,1247835.0,590462.0,1748929.0,495,280,31,68,4,7,0.235001,5412484.0,32403.0,44840.0,9974082.0
선릉동신빌딩R,스타벅스,1,37.505321,127.050409,강남구,서울특별시 강남구 테헤란로 409 (삼성동),0.1875,1,128658.0,6,979327.0,464313.0,1366106.0,840,501,56,118,5,13,0.185332,5055114.0,70662.0,38455.0,17309515.0
봉은사로선정릉,스타벅스,1,37.51131683,127.0484634,강남구,서울특별시 강남구 봉은사로 446 (삼성동),0.4176,2,34642.0,4,530702.0,248340.0,740970.0,246,204,21,52,1,4,0.349945,5055114.0,70662.0,38455.0,17309515.0
강남오거리,스타벅스,1,37.502117,127.026672,강남구,서울특별시 강남구 봉은사로2길 39 (역삼동),0.3104,1,63798.0,17,1317687.0,937336.0,2622335.0,954,685,50,147,8,13,0.151016,3607265.0,202016.0,98668.0,15728217.0
스타필드코엑스몰R,스타벅스,1,37.50999,127.061455,강남구,서울특별시 강남구 영동대로 513 (삼성동) 코엑스 A106호,0.1971,3,104363.0,11,1958864.0,1175404.0,3200589.0,679,613,41,106,3,14,0.105592,5098096.0,189339.0,41121.0,17309515.0
