상호명,브랜드,is_starbucks,위도,경도,시군구명,도로명주소,log_dist_subway,subway_count_cat,subway_ridership,bus_stops_300m,peak_avg,restaurants_500m,log_retail_500m,convenience_500m,indie_cafe_500m,low_price_cafe_500m,franchise_cafe_500m,log_dist_starbucks,avg_income,offices,living_pop,land_price
역삼아레나빌딩,스타벅스,1,37.501087,127.043069,강남구,서울특별시 강남구 언주로 425 (역삼동),0.46102595021338477,0,97341.0,5,0.0,703,5.934894195619588,51,106,4,11,0.18325945016776335,5367397.0,55876.0,53114.0,15728217.0
논현역사거리,스타벅스,1,37.510178,127.022223,강남구,서울특별시 강남구 강남대로 538 (논현동),0.11707167158583756,1,37489.0,7,271341.3333333333,787,6.202535517187923,46,119,5,9,0.1852638905480782,3277066.0,45242.0,39520.0,13166568.0
신사역성일빌딩,스타벅스,1,37.5139309,127.0206057,강남구,서울특별시 강남구 강남대로 584 (논현동),0.23956792972835164,2,53415.0,5,697701.0,662,6.07993319509559,40,95,4,6,0.136603045265638,3277066.0,45242.0,39520.0,13166568.0
국기원사거리,스타벅스,1,37.499517,127.031495,강남구,서울특별시 강남구 테헤란로 125 (역삼동),0.32671045941925925,2,173599.0,7,1930077.0,1146,6.588926477533519,58,176,7,17,0.17016631357377687,3607265.0,202016.0,98668.0,15728217.0
대치재경빌딩,스타벅스,1,37.494668,127.062583,강남구,서울특별시 강남구 남부순환로 2947 (대치동),0.08947500642760275,1,25331.0,8,160407.66666666666,138,4.990432586778736,15,13,3,3,0.1299478544144193,7421305.0,18463.0,28611.0,14330204.0
봉은사역,스타벅스,1,37.515,127.063196,강남구,서울특별시 강남구 봉은사로 619 (삼성동),0.2424754796137017,1,47578.0,5,450165.0,192,4.51085950651685,12,41,0,8,0.24298853065470546,5098096.0,189339.0,41121.0,17309515.0
압구정윤성빌딩,스타벅스,1,37.5227934,127.0286009,강남구,서울특별시 강남구 논현로 834 (신사동),0.38926797320559314,1,62771.0,4,482638.3333333333,658,6.329720905522696,31,110,5,11,0.12479130912649354,5808537.0,50479.0,39967.0,18576443.0
코엑스별마당,스타벅스,1,37.51015,127.060275,강남구,서울특별시 강남구 영동대로 513 (삼성동),0.25696509978972043,2,104363.0,11,2111619.0,739,6.517671272912275,44,126,3,20,0.10038093811507474,5098096.0,189339.0,41121.0,17309515.0
삼성역섬유센터R,스타벅스,1,37.50775,127.060651,강남구,서울특별시 강남구 테헤란로 518 (대치동),0.22514155397688282,2,104363.0,8,1661454.0,716,6.591673732008658,50,123,3,15,0.23029869213230075,6017362.0,102922.0,52052.0,14330204.0
압구정R,스타벅스,1,37.5273669,127.033061,강남구,서울특별시 강남구 언주로 861 (신사동),0.341459778132252,1,62771.0,7,482638.3333333333,660,6.429719478039138,21,81,2,5,0.15082056973189242,5808537.0,50479.0,39967.0,18576443.0
수서역R,스타벅스,1,37.48802242,127.1029799,강남구,서울특별시 강남구 광평로 281 (수서동),0.14678073120819493,1,73830.0,15,428523.3333333333,194,4.882801922586371,13,27,3,1,0.06701264546627295,3847379.0,19403.0,23671.0,3109935.0
양재강남빌딩R,스타벅스,1,37.485192,127.036685,강남구,서울특별시 강남구 남부순환로 2621 (도곡동),0.2169645002374942,1,83745.0,14,1195742.0,495,5.638354669333745,31,68,4,7,0.21107177979621186,5412484.0,32403.0,44840.0,9974082.0
선릉동신빌딩R,스타벅스,1,37.505321,127.050409,강남구,서울특별시 강남구 테헤란로 409 (삼성동),0.17185025692665923,1,128658.0,6,936582.0,840,6.218600119691729,56,118,5,13,0.17002290412352322,5055114.0,70662.0,38455.0,17309515.0
봉은사로선정릉,스타벅스,1,37.51131683,127.0484634,강남구,서울특별시 강남구 봉은사로 446 (삼성동),0.3489653008686795,2,34642.0,4,506670.6666666667,246,5.3230099791384085,21,52,1,4,0.30006385087967086,5055114.0,70662.0,38455.0,17309515.0
강남오거리,스타벅스,1,37.502117,127.026672,강남구,서울특별시 강남구 봉은사로2길 39 (역삼동),0.2703324341166679,1,63798.0,17,1625786.0,954,6.530877627725885,50,147,8,13,0.14064503059881892,3607265.0,202016.0,98668.0,15728217.0
스타필드코엑스몰R,스타벅스,1,37.50999,127.061455,강남구,서울특별시 강남구 영동대로 513 (삼성동) 코엑스 A106호,0.17990196527518712,2,104363.0,11,2111619.0,679,6.419994928147142,41,106,3,14,0.10038093811507474,5098096.0,189339.0,41121.0,17309515.0
강남구청정문,스타벅스,1,37.51827133,127.0459595,강남구,서울특별시 강남구 학동로 419 (청담동),0.3594211696067576,1,52718.0,3,369468.6666666667,280,5.768320995793772,26,53,2,4,0.2945640869717892,5010204.0,58171.0,40957.0,17877524.0
도곡공원,스타벅스,1,37.492805,127.041309,강남구,서울특별시 강남구 도곡로 205 (역삼동),0.5934373364109333,0,24580.0,8,0.0,297,5.556828061699537,27,44,3,4,0.16711992864924952,5367397.0,55876.0,53114.0,15728217.0
강남R,스타벅스,1,37.497711,127.028439,강남구,서울특별시 강남구 강남대로 390 (역삼동),0.04917104400644938,1,173599.0,18,1210334.3333333333,1170,6.655440350367647,62,152,9,20,0.07341959241760582,3607265.0,202016.0,98668.0,15728217.0
대치은마사거리,스타벅스,1,37.498973,127.060172,강남구,서울특별시 강남구 도곡로 457 (대치동),0.4533024375223245,0,25331.0,6,0.0,270,5.3471075307174685,29,38,5,9,0.17898014716409005,4101144.0,43704.0,40617.0,14330204.0
청담영동대로,스타벅스,1,37.52275803,127.0569749,강남구,서울특별시 강남구 영동대로 720 (청담동),0.4017917027418555,1,37562.0,6,298057.3333333333,154,5.262690188904886,16,24,0,2,0.41198116575178717,5010204.0,58171.0,40957.0,17877524.0
압구정,스타벅스,1,37.526283,127.02956,강남구,서울특별시 강남구 압구정로30길 17 (신사동),0.1228369099590624,1,62771.0,6,482638.3333333333,501,6.2422232654551655,24,72,5,12,0.08179931777637754,5808537.0,50479.0,39967.0,18576443.0
신사가로수,스타벅스,1,37.521933,127.022521,강남구,서울특별시 강남구 가로수길 59 ,0.5054914221752889,0,53415.0,3,0.0,738,6.411818267709897,29,127,3,6,0.14634803247850958,5099915.0,27674.0,33058.0,12476930.0
청담스타R,스타벅스,1,37.525216,127.041827,강남구,서울특별시 강남구 도산대로57길 24 (청담동),0.23617822958466536,1,38992.0,5,255181.33333333334,926,6.732210706467206,36,74,3,5,0.17473955257330998,5010204.0,58171.0,40957.0,17877524.0
강남우성,스타벅스,1,37.492396,127.03091,강남구,서울특별시 강남구 강남대로 328 (역삼동),0.47865361005963974,0,173599.0,10,0.0,896,6.418364935936212,48,116,6,10,0.08258685320436168,3607265.0,202016.0,98668.0,15728217.0
학동사거리,스타벅스,1,37.5224751,127.0379473,강남구,서울특별시 강남구 도산대로 328 (논현동),0.46455129223400116,0,38992.0,7,0.0,900,6.408528791059498,33,75,3,5,0.1602591280687952,3973993.0,57007.0,45491.0,13166568.0
대치사거리,스타벅스,1,37.503331,127.058817,강남구,서울특별시 강남구 삼성로 402 (대치동),0.5440089175562234,0,104363.0,8,0.0,509,5.814130531825066,36,83,7,10,0.2461113602123537,6017362.0,102922.0,52052.0,14330204.0
포스코사거리,스타벅스,1,37.5075307,127.0574271,강남구,서울특별시 강남구 테헤란로 505 (삼성동) 화진빌딩,0.42284650593893924,0,104363.0,10,0.0,889,6.508769136971682,43,140,5,16,0.15390579270199659,5098096.0,189339.0,41121.0,17309515.0
을지병원사거리,스타벅스,1,37.5191632,127.0286446,강남구,"서울특별시 강남구 논현로 752 (논현동,구산빌딩)",0.475985700923283,0,44300.0,7,0.0,567,6.238324625039508,32,98,4,4,0.3390966469845973,3973993.0,57007.0,45491.0,12476930.0
신사역,스타벅스,1,37.5162021,127.0207428,강남구,서울특별시 강남구 도산대로 108 (논현동) 렉스타워,0.05581306481921278,1,53415.0,10,426359.6666666667,756,6.1092475827643655,38,96,3,4,0.16901930619588307,3277066.0,45242.0,39520.0,13166568.0
도곡역,스타벅스,1,37.492167,127.057398,강남구,서울특별시 강남구 남부순환로 2909 (대치동),0.1989328225991515,1,27511.0,8,181726.33333333334,71,4.543294782270004,7,12,1,0,0.2685474170127186,7421305.0,18463.0,28611.0,14330204.0
서울세관사거리,스타벅스,1,37.514887,127.035653,강남구,서울특별시 강남구 언주로 650 (논현동) 한국건설기술인협회,0.3074846997479606,1,44300.0,7,334217.6666666667,469,5.808142489980444,28,80,1,11,0.3611620617512535,3973993.0,57007.0,45491.0,13166568.0
청담사거리,스타벅스,1,37.52384364,127.04695,강남구,서울특별시 강남구 도산대로 458 (청담동) 리츠타워,0.5241958427041623,0,38992.0,6,0.0,483,6.240275845170769,27,52,1,4,0.34403145077740416,5010204.0,58171.0,40957.0,17877524.0
한티역,스타벅스,1,37.496801,127.055055,강남구,"서울특별시 강남구 도곡로 408, 디마크빌딩 101호 (대치동)",0.1844027229977792,1,32094.0,8,209649.0,265,5.849324779946859,26,31,5,6,0.22654017624701478,7421305.0,18463.0,28611.0,14330204.0
역삼초교사거리,스타벅스,1,37.49416922,127.0331779,강남구,서울특별시 강남구 역삼로 123 (역삼동),0.4583737637635665,0,173599.0,3,0.0,998,6.461468176353717,53,126,9,11,0.24757232422390474,3607265.0,202016.0,98668.0,15728217.0
코엑스몰,스타벅스,1,37.513715,127.059245,강남구,서울특별시 강남구 영동대로 513 (삼성동) O103호,0.0993927438780348,1,47578.0,9,450165.0,435,5.638354669333745,25,79,0,10,0.08929942407903041,5098096.0,189339.0,41121.0,17309515.0
가로수길,스타벅스,1,37.5231593,127.021625,강남구,"서울특별시 강남구 논현로175길 94, 1~2층 (신사동)",0.5558372295953387,0,62771.0,3,0.0,489,6.135564891081739,18,95,2,4,0.14634803247850958,5099915.0,27674.0,33058.0,18576443.0
역삼대로,스타벅스,1,37.501623,127.039375,강남구,"서울특별시 강남구 테헤란로 211, 한국고등교육재단빌딩 1층 (역삼동)",0.2472506266574429,1,97341.0,4,719742.6666666666,909,6.137727054086234,65,140,8,13,0.13382697393606235,3607265.0,202016.0,98668.0,15728217.0
역삼포스코,스타벅스,1,37.499721,127.033582,강남구,"서울특별시 강남구 테헤란로 134, P&S TOWER (역삼동)",0.24106205181655474,1,97341.0,3,719742.6666666666,1025,6.315358001522335,61,156,9,16,0.11065726309112998,3607265.0,202016.0,98668.0,15728217.0
강남대로,스타벅스,1,37.50314,127.025546,강남구,"서울특별시 강남구 강남대로 456, 한석타워 2층 1-2호 (역삼동)",0.15503600209953214,1,63798.0,17,415451.6666666667,984,6.2766434893416445,46,135,9,11,0.1171028043515193,3607265.0,202016.0,98668.0,15728217.0
청담,스타벅스,1,37.5243631,127.0515599,강남구,"서울특별시 강남구 도산대로 532, 인희빌딩 1층 (청담동)",0.45603147167885216,0,37562.0,4,0.0,317,5.849324779946859,20,44,1,2,0.34403145077740416,5010204.0,58171.0,40957.0,17877524.0
삼성교,스타벅스,1,37.507794,127.06517,강남구,"서울특별시 강남구 영동대로86길 12, 동남유화빌딩 1층",0.18904887754338115,2,104363.0,7,1661454.0,262,5.945420608606575,27,53,3,6,0.14997483023375838,6017362.0,102922.0,52052.0,12476930.0
학동역,스타벅스,1,37.51464884,127.0307302,강남구,서울특별시 강남구 논현로 704 (논현동),0.08993210750060718,1,44300.0,5,334217.6666666667,349,5.961005339623274,24,69,2,10,0.3028615293457057,3973993.0,57007.0,45491.0,13166568.0
대치,스타벅스,1,37.49966175,127.0622171,강남구,서울특별시 강남구 도곡로 511 (대치동),0.4545092082870869,0,25331.0,7,0.0,293,5.493061443340548,27,42,6,9,0.17898014716409005,6017362.0,102922.0,52052.0,14330204.0
신세계푸드마켓도곡,스타벅스,1,37.49010201,127.0550702,강남구,"서울특별시 강남구 언주로30길 57, 타워팰리스Ⅱ F 지하1층 (도곡동)",0.10454017927392387,2,27511.0,10,214708.33333333334,109,4.5217885770490405,6,16,1,2,0.2685474170127186,6567504.0,84833.0,27355.0,9974082.0
삼성,스타벅스,1,37.50689646,127.0557187,강남구,"서울특별시 강남구 테헤란로 443, 애플트리타워 1층 (삼성동)",0.5228925249841286,0,128658.0,8,0.0,915,6.480044561926653,46,135,5,17,0.15390579270199659,5055114.0,70662.0,38455.0,17309515.0
선릉세화빌딩,스타벅스,1,37.50377562,127.051196,강남구,서울특별시 강남구 테헤란로64길 18 (대치동) 1층,0.22578007263533953,1,128658.0,5,936582.0,895,6.251903883165888,56,117,7,12,0.17002290412352322,4101144.0,43704.0,40617.0,14330204.0
압구정역,스타벅스,1,37.52674095,127.0281105,강남구,"서울특별시 강남구 압구정로 170, 관영빌딩 1층 지하1층 (신사동)",0.046979001193994605,1,62771.0,5,482638.3333333333,421,6.063785208687608,18,59,4,9,0.12072093801406324,5099915.0,27674.0,33058.0,18576443.0
압구정로,스타벅스,1,37.52682567,127.0347762,강남구,서울특별시 강남구 압구정로42길 32 (신사동),0.41310253523737567,0,38992.0,4,0.0,858,6.473890696352274,26,89,4,5,0.15082056973189242,5808537.0,50479.0,39967.0,18576443.0
구역삼사거리,스타벅스,1,37.49589065,127.0389092,강남구,서울특별시 강남구 논현로 401 (역삼동),0.45037473685677276,0,97341.0,6,0.0,533,5.802118375377063,37,87,3,5,0.33873610071747573,3607265.0,202016.0,98668.0,15728217.0
큰길타워,스타벅스,1,37.50236693,127.0407,강남구,"서울특별시 강남구 테헤란로 223, 큰길타워빌딩 (역삼동)",0.3518533386595153,1,97341.0,5,719742.6666666666,835,6.104793232414985,63,123,9,12,0.13382697393606235,3607265.0,202016.0,98668.0,15728217.0
강남구청역,스타벅스,1,37.5165849,127.0412433,강남구,"서울특별시 강남구 선릉로 669, 웰빙센터 1층 (논현동)",0.07908840631896367,1,52718.0,8,369468.6666666667,431,5.863631175598097,28,73,3,5,0.1356247001267827,3973993.0,57007.0,45491.0,13166568.0
대치역,스타벅스,1,37.493554,127.061874,강남구,서울특별시 강남구 남부순환로 2936 (대치동) 107호,0.17848085740801675,1,25331.0,8,160407.66666666666,90,4.68213122712422,10,11,2,1,0.1299478544144193,7421305.0,18463.0,28611.0,14330204.0
포이,스타벅스,1,37.47781106,127.0451411,강남구,서울특별시 강남구 논현로 88 (개포동),0.7060634058264916,0,24580.0,9,0.0,493,5.993961427306569,30,80,2,3,0.41994444145633186,3550527.0,7242.0,15698.0,5662514.0
아크플레이스,스타벅스,1,37.49971982,127.0349084,강남구,서울특별시 강남구 테헤란로 142 (역삼동),0.15649079675943306,1,97341.0,5,719742.6666666666,940,6.152732694704104,57,152,7,13,0.11065726309112998,3607265.0,202016.0,98668.0,15728217.0
학여울역,스타벅스,1,37.49803646,127.0684943,강남구,서울특별시 강남구 영동대로 215 (대치동),0.21519202152658962,1,4980.0,8,38258.333333333336,118,4.90527477843843,10,15,2,1,0.2523240295730758,6017362.0,102922.0,52052.0,14330204.0
선정릉역,스타벅스,1,37.5107549,127.0445597,강남구,서울특별시 강남구 봉은사로 407 (삼성동) 에프오빌딩,0.06672363204290818,1,34642.0,9,339600.6666666667,253,5.375278407684165,23,52,1,1,0.30006385087967086,5055114.0,70662.0,38455.0,17309515.0
삼성현대힐,스타벅스,1,37.51350444,127.0527375,강남구,서울특별시 강남구 삼성로 605 (삼성동),0.07036526266056349,1,15646.0,4,167070.0,303,5.3471075307174685,25,47,1,4,0.30396601643633475,5055114.0,70662.0,38455.0,17309515.0
GS타워,스타벅스,1,37.5018592,127.0372776,강남구,서울특별시 강남구 논현로 508 (역삼동),0.14453315073229836,1,97341.0,6,719742.6666666666,939,6.073044534100405,62,137,8,12,0.1713254876804132,3607265.0,202016.0,98668.0,15728217.0
압구정미소,스타벅스,1,37.52391271,127.0280721,강남구,서울특별시 강남구 논현로 841 (신사동),0.302324349188651,1,62771.0,5,482638.3333333333,596,6.46302945692067,30,97,5,11,0.12479130912649354,5099915.0,27674.0,33058.0,18576443.0
선릉역,스타벅스,1,37.50393894,127.0485135,강남구,"서울특별시 강남구 테헤란로 334, LG화재 빌딩 (역삼동)",0.06793898300819287,1,128658.0,7,936582.0,819,6.248042874508429,53,115,6,14,0.17387011038537442,5367397.0,55876.0,53114.0,15728217.0
코엑스사거리,스타벅스,1,37.515351,127.060109,강남구,서울특별시 강남구 영동대로 616 (삼성동),0.11902670642164091,1,47578.0,6,450165.0,262,5.420534999272286,22,53,0,8,0.18001222567360614,5098096.0,189339.0,41121.0,17309515.0
역삼럭키,스타벅스,1,37.492209,127.039389,강남구,서울특별시 강남구 도곡로 183 (역삼동),0.6288219700033877,0,24580.0,6,0.0,336,5.58724865840025,31,46,2,4,0.16711992864924952,3607265.0,202016.0,98668.0,15728217.0
신압구정,스타벅스,1,37.5280933,127.0365247,강남구,서울특별시 강남구 언주로174길 29 (신사동),0.30917444778987807,1,38992.0,5,255181.33333333334,761,6.51025834052315,23,74,2,5,0.18971829998261175,5808537.0,50479.0,39967.0,18576443.0
