column,mean,median,std,min,max,Q1,Q3
is_starbucks,0.0305,0.0,0.172,0.0,1.0,0.0,0.0
위도,37.5442,37.5451,0.0461,37.4341,37.6904,37.5064,37.5709
경도,126.9906,126.9973,0.0808,126.7942,127.1807,126.9239,127.0501
행정동코드,11441656.9461,11440720.0,199702.5434,11110515.0,11740700.0,11260570.0,11628208.75
dist_nearest_subway,0.4311,0.3637,0.3117,0.0017,3.2369,0.2233,0.5493
num_subway_500m,0.8203,1.0,0.6465,0.0,4.0,0.0,1.0
nearest_subway_ridership,52310.0326,38747.0,41767.9279,2665.0,238671.0,22612.0,69204.0
subway_ridership_500m,44370.447,28961.0,53044.5437,0.0,352395.0,0.0,62771.0
num_competing_cafes_500m,76.9608,61.0,54.3806,0.0,293.0,37.0,105.0
num_restaurants_500m,472.0677,411.0,300.5986,1.0,1670.0,247.0,651.0
num_retail_500m,355.9204,282.0,302.2058,0.0,2890.0,179.0,427.0
num_convenience_500m,27.2273,25.0,13.9256,0.0,88.0,17.0,35.0
avg_income,3551032.4513,3261019.0,951870.3014,2099146.0,7421305.0,2860315.0,4069239.0
num_offices,28737.6401,5852.0,49992.3846,3.0,250897.0,1885.0,31123.0
living_population,33592.8157,28550.0,19240.7462,3527.0,98668.0,19613.0,41121.0
land_price,7107929.5608,5072899.0,5831229.9692,195882.0,68290599.0,3433797.0,8486933.0
