university,n_cafe,n_starbucks,persona_n_cafe,main_district,score,score_pct,actual_district_score,actual_district_score_pct,dominant_persona,sb_core_share,weak_access_share,share_C0,share_C1,share_C2,share_C3,share_C4
한양대,182,5,182,77,0.9918055555555556,97.6470588235294,0.9289444444444448,90.58823529411764,C1 상업활성,0.489010989010989,0.04945054945054945,0.0,0.489010989010989,0.46153846153846156,0.0,0.04945054945054945
이화여대,212,11,212,8,0.987190343915344,97.05882352941175,0.9953666666666664,100.0,C1 상업활성,0.6415094339622641,0.18867924528301888,0.0,0.6415094339622641,0.16981132075471697,0.0,0.18867924528301888
서강대,400,14,400,8,0.9732338624338625,95.2941176470588,0.9953666666666664,100.0,C1 상업활성,0.6375,0.0325,0.0,0.6375,0.33,0.0,0.0325
연세대,182,9,182,8,0.9549896825396824,93.52941176470588,0.9953666666666664,100.0,C4 비역세권,0.38461538461538464,0.6043956043956044,0.0,0.38461538461538464,0.01098901098901099,0.0,0.6043956043956044
건국대,270,10,270,17,0.9543580687830688,92.94117647058825,0.9868666666666666,97.05882352941175,C1 상업활성,0.5703703703703704,0.21851851851851853,0.0,0.5703703703703704,0.2111111111111111,0.0,0.21851851851851853
경희대,156,6,156,73,0.9492103174603176,91.76470588235294,0.8884075396825398,83.52941176470588,C4 비역세권,0.21794871794871795,0.532051282051282,0.0,0.21794871794871795,0.25,0.0,0.532051282051282
고려대,157,4,157,8,0.9003116402116402,85.29411764705883,0.9953666666666664,100.0,C2 주거생활,0.0,0.12101910828025478,0.0,0.0,0.8789808917197452,0.0,0.12101910828025478
중앙대,131,3,131,14,0.8646825396825396,82.35294117647058,0.994672222222222,99.41176470588236,C2 주거생활,0.0,0.21374045801526717,0.0,0.0,0.7862595419847328,0.0,0.21374045801526717
홍익대,628,11,628,8,0.8764789349539349,82.35294117647058,0.9953666666666664,100.0,C3 도심초밀집,0.9347133757961784,0.0015923566878980893,0.0,0.40764331210191085,0.06369426751592357,0.5270700636942676,0.0015923566878980893
서울대,12,0,12,120,0.3235563492063492,20.0,0.4455522486772487,40.0,C4 비역세권,0.0,1.0,0.0,0.0,0.0,0.0,1.0
