feature,F_stat,p_value,eta_squared,effect
offices,483.8,1.0597694830014554e-196,0.741,large
indie_cafe_500m,413.1,6.868811267542846e-180,0.71,large
restaurants_500m,360.0,7.176424244169372e-166,0.681,large
convenience_500m,249.8,1.240275088131898e-131,0.596,large
peak_avg,196.5,1.0703625127307297e-111,0.538,large
living_pop,191.0,1.7813297653251104e-109,0.531,large
subway_count_cat,188.8,1.4197174062719377e-108,0.528,large
log_dist_subway,179.7,8.425753651939804e-105,0.515,large
franchise_cafe_500m,169.7,1.5268546321503456e-100,0.501,large
log_retail_500m,142.2,3.685808617977514e-88,0.457,large
low_price_cafe_500m,138.6,1.925979557321518e-86,0.451,large
land_price,126.1,2.066980927688876e-80,0.427,large
subway_ridership,111.5,5.417125297520241e-73,0.398,large
log_dist_starbucks,100.0,7.09866581214164e-67,0.372,large
bus_stops_300m,35.0,1.4092793709106173e-26,0.172,large
avg_income,13.0,3.54490737033531e-10,0.071,medium
