상호명,시군구명,위도,경도,cluster_kmeans5,stability
역삼아레나빌딩,강남구,37.501087,127.043069,1,0.645
논현역사거리,강남구,37.510178,127.022223,1,0.846
신사역성일빌딩,강남구,37.5139309,127.0206057,1,0.851
국기원사거리,강남구,37.499517,127.031495,3,0.897
대치재경빌딩,강남구,37.494668,127.062583,2,0.721
봉은사역,강남구,37.515,127.063196,2,0.191
압구정윤성빌딩,강남구,37.5227934,127.0286009,1,0.679
코엑스별마당,강남구,37.51015,127.060275,3,0.9
삼성역섬유센터R,강남구,37.50775,127.060651,3,0.834
압구정R,강남구,37.5273669,127.033061,1,0.654
수서역R,강남구,37.48802242,127.1029799,2,0.88
양재강남빌딩R,강남구,37.485192,127.036685,1,0.841
선릉동신빌딩R,강남구,37.505321,127.050409,1,0.666
봉은사로선정릉,강남구,37.51131683,127.0484634,2,0.689
강남오거리,강남구,37.502117,127.026672,3,0.9
스타필드코엑스몰R,강남구,37.50999,127.061455,3,0.893
강남구청정문,강남구,37.51827133,127.0459595,2,0.638
도곡공원,강남구,37.492805,127.041309,4,0.759
강남R,강남구,37.497711,127.028439,3,0.901
대치은마사거리,강남구,37.498973,127.060172,4,0.699
청담영동대로,강남구,37.52275803,127.0569749,2,0.29
압구정,강남구,37.526283,127.02956,1,0.672
신사가로수,강남구,37.521933,127.022521,1,0.658
청담스타R,강남구,37.525216,127.041827,1,0.658
강남우성,강남구,37.492396,127.03091,0,0.856
학동사거리,강남구,37.5224751,127.0379473,1,0.682
대치사거리,강남구,37.503331,127.058817,0,0.676
포스코사거리,강남구,37.5075307,127.0574271,0,0.856
을지병원사거리,강남구,37.5191632,127.0286446,4,0.609
신사역,강남구,37.5162021,127.0207428,1,0.844
도곡역,강남구,37.492167,127.057398,2,0.555
서울세관사거리,강남구,37.514887,127.035653,2,0.49
청담사거리,강남구,37.52384364,127.04695,4,0.708
한티역,강남구,37.496801,127.055055,2,0.639
역삼초교사거리,강남구,37.49416922,127.0331779,0,0.816
코엑스몰,강남구,37.513715,127.059245,0,0.876
가로수길,강남구,37.5231593,127.021625,4,0.678
역삼대로,강남구,37.501623,127.039375,0,0.757
역삼포스코,강남구,37.499721,127.033582,0,0.728
강남대로,강남구,37.50314,127.025546,0,0.736
청담,강남구,37.5243631,127.0515599,4,0.75
삼성교,강남구,37.507794,127.06517,1,0.658
학동역,강남구,37.51464884,127.0307302,2,0.648
대치,강남구,37.49966175,127.0622171,4,0.469
신세계푸드마켓도곡,강남구,37.49010201,127.0550702,2,0.737
삼성,강남구,37.50689646,127.0557187,1,0.713
선릉세화빌딩,강남구,37.50377562,127.051196,1,0.739
압구정역,강남구,37.52674095,127.0281105,1,0.668
압구정로,강남구,37.52682567,127.0347762,1,0.656
구역삼사거리,강남구,37.49589065,127.0389092,0,0.9
큰길타워,강남구,37.50236693,127.0407,0,0.78
강남구청역,강남구,37.5165849,127.0412433,1,0.465
대치역,강남구,37.493554,127.061874,2,0.696
포이,강남구,37.47781106,127.0451411,4,0.895
아크플레이스,강남구,37.49971982,127.0349084,0,0.761
학여울역,강남구,37.49803646,127.0684943,2,0.646
