상호명,시군구명,cluster,margin,2nd_nearest,is_boundary
석촌호수,송파구,2,0.005,C1 상업활성,True
성대입구,종로구,2,0.008,C1 상업활성,True
뚝섬한강공원,광진구,4,0.008,C2 주거생활,True
포스코,강남구,0,0.011,C1 상업활성,True
군자사거리,광진구,1,0.011,C2 주거생활,True
목동트라팰리스,양천구,1,0.011,C2 주거생활,True
서초법원,서초구,3,0.012,C1 상업활성,True
서울세관사거리,강남구,2,0.012,C1 상업활성,True
구로하이엔드,구로구,1,0.014,C4 비역세권,True
청량리역사,동대문구,2,0.019,C1 상업활성,True
청담역6번출구,강남구,2,0.019,C0 오피스고소득,True
구로오류DT,구로구,2,0.021,C4 비역세권,True
강북삼성병원,종로구,2,0.023,C1 상업활성,True
봉은사역,강남구,2,0.024,C0 오피스고소득,True
숙대입구역,용산구,1,0.025,C2 주거생활,True
미아사거리역,강북구,1,0.026,C2 주거생활,True
강남교보타워R,서초구,1,0.027,C3 도심초밀집,True
서대문역,종로구,1,0.029,C2 주거생활,True
마리오아울렛,금천구,3,0.031,C1 상업활성,True
원그로브,강서구,2,0.032,C1 상업활성,True
군자역,광진구,1,0.033,C2 주거생활,True
삼성동,강남구,1,0.034,C3 도심초밀집,True
서초우성사거리,서초구,3,0.034,C1 상업활성,True
김포공항DT,강서구,2,0.034,C4 비역세권,True
우리은행본점B1F,중구,3,0.034,C1 상업활성,True
정동,종로구,2,0.035,C1 상업활성,True
서교동사거리,마포구,3,0.036,C1 상업활성,True
노량진역,동작구,2,0.037,C1 상업활성,True
구의역,광진구,2,0.038,C1 상업활성,True
상암DMC,마포구,4,0.038,C1 상업활성,True
태릉입구역DT,노원구,1,0.039,C2 주거생활,True
불광역,은평구,2,0.041,C1 상업활성,True
순화동더샵,중구,1,0.041,C3 도심초밀집,True
별다방,중구,3,0.041,C1 상업활성,True
당산역사거리,영등포구,1,0.041,C2 주거생활,True
서울안토,강북구,2,0.042,C4 비역세권,True
송파아이파크,송파구,1,0.042,C2 주거생활,True
잠실새내역,송파구,2,0.042,C1 상업활성,True
동부이촌동,용산구,2,0.044,C4 비역세권,True
대치사거리,강남구,0,0.045,C1 상업활성,True
청담영동대로,강남구,2,0.045,C4 비역세권,True
건대후문,광진구,2,0.046,C1 상업활성,True
선릉역,강남구,1,0.046,C3 도심초밀집,True
신사가로수,강남구,1,0.047,C4 비역세권,True
한티역,강남구,2,0.047,C1 상업활성,True
잠실트리지움,송파구,1,0.047,C2 주거생활,True
마곡나루공원,강서구,1,0.048,C2 주거생활,True
동교,마포구,3,0.048,C1 상업활성,True
가산에스케이,금천구,1,0.049,C3 도심초밀집,True
서대문적십자,종로구,1,0.049,C2 주거생활,True
서울역서부,용산구,1,0.052,C2 주거생활,True
노원상계,노원구,2,0.055,C1 상업활성,True
회기역사거리,동대문구,1,0.059,C2 주거생활,True
신촌역,서대문구,1,0.06,C3 도심초밀집,True
대치,강남구,4,0.061,C0 오피스고소득,True
서초구청,서초구,1,0.061,C2 주거생활,True
용산전자랜드,용산구,1,0.061,C2 주거생활,True
강남파이낸스센터,강남구,0,0.063,C3 도심초밀집,True
한티역8번출구,강남구,2,0.063,C1 상업활성,True
새문안로,종로구,1,0.063,C3 도심초밀집,True
천호대로길동,강동구,1,0.063,C2 주거생활,True
낙성대역,관악구,2,0.064,C1 상업활성,True
노원마들역,노원구,2,0.065,C4 비역세권,True
역삼아레나빌딩,강남구,1,0.065,C0 오피스고소득,True
개포동,강남구,4,0.066,C2 주거생활,True
청계산입구역,서초구,2,0.066,C4 비역세권,True
마포역뉴매드,마포구,2,0.066,C1 상업활성,True
서이초교사거리,서초구,4,0.067,C1 상업활성,True
강남에비뉴,서초구,1,0.067,C3 도심초밀집,True
대치한티,강남구,2,0.067,C1 상업활성,True
가산디지털,금천구,3,0.068,C1 상업활성,True
퍼시픽타워,중구,3,0.069,C1 상업활성,True
학동역,강남구,2,0.069,C1 상업활성,True
송파나루역DT,송파구,1,0.072,C2 주거생활,True
호림아트센터,강남구,1,0.072,C4 비역세권,True
동작대로,서초구,1,0.073,C2 주거생활,True
선릉동신빌딩R,강남구,1,0.074,C3 도심초밀집,True
남영동,용산구,2,0.077,C1 상업활성,True
현대신촌,서대문구,1,0.077,C3 도심초밀집,True
코엑스사거리,강남구,0,0.08,C2 주거생활,True
스페이스본,종로구,2,0.084,C1 상업활성,True
구의역이스트폴,광진구,2,0.086,C1 상업활성,True
교대,서초구,1,0.087,C3 도심초밀집,True
서초역이화빌딩,서초구,1,0.088,C2 주거생활,True
낙성대역7번출구,관악구,2,0.088,C1 상업활성,True
현대미아,성북구,4,0.089,C2 주거생활,True
미아이마트,성북구,2,0.089,C1 상업활성,True
선유동이레빌딩,영등포구,4,0.09,C2 주거생활,True
강남논현,강남구,1,0.09,C3 도심초밀집,True
김포공항국제선,강서구,2,0.091,C4 비역세권,True
코엑스아셈타워,강남구,0,0.091,C1 상업활성,True
문화일보,중구,1,0.092,C2 주거생활,True
강북삼성병원1층,종로구,2,0.093,C1 상업활성,True
옥수,성동구,2,0.093,C4 비역세권,True
학동사거리,강남구,1,0.093,C4 비역세권,True
삼성역섬유센터R,강남구,3,0.094,C1 상업활성,True
올림픽아파트,송파구,2,0.094,C4 비역세권,True
연세암병원,서대문구,2,0.096,C1 상업활성,True
동국대,중구,1,0.096,C2 주거생활,True
코엑스몰,강남구,0,0.098,C1 상업활성,True
