상호명,cluster_A,cluster_B
역삼아레나빌딩,1,1
논현역사거리,1,3
신사역성일빌딩,1,3
국기원사거리,3,0
대치재경빌딩,2,1
봉은사역,2,1
압구정윤성빌딩,1,1
코엑스별마당,3,0
삼성역섬유센터R,3,0
압구정R,1,1
수서역R,2,2
양재강남빌딩R,1,1
선릉동신빌딩R,1,0
봉은사로선정릉,2,1
강남오거리,3,0
스타필드코엑스몰R,3,0
강남구청정문,2,1
도곡공원,4,1
강남R,3,0
대치은마사거리,4,1
청담영동대로,2,1
압구정,1,1
신사가로수,1,1
청담스타R,1,1
강남우성,0,1
학동사거리,1,1
대치사거리,0,1
포스코사거리,0,1
을지병원사거리,4,1
신사역,1,3
도곡역,2,1
서울세관사거리,2,1
청담사거리,4,1
한티역,2,1
역삼초교사거리,0,0
코엑스몰,0,1
가로수길,4,1
역삼대로,0,0
역삼포스코,0,0
강남대로,0,0
청담,4,1
삼성교,1,1
학동역,2,1
대치,4,1
신세계푸드마켓도곡,2,1
삼성,1,1
선릉세화빌딩,1,0
압구정역,1,1
압구정로,1,1
구역삼사거리,0,1
큰길타워,0,0
강남구청역,1,1
대치역,2,1
포이,4,4
아크플레이스,0,0
학여울역,2,1
선정릉역,2,1
삼성현대힐,2,1
GS타워,0,0
압구정미소,1,1
선릉역,1,0
코엑스사거리,0,1
역삼럭키,0,1
신압구정,1,1
아크로힐스논현,0,1
강남비젼타워,3,0
압구정로데오역,1,1
르네상스사거리,1,1
포스코,0,1
선릉로,0,1
논현힐탑,1,1
도산가로수길,1,1
매봉역,2,1
호림아트센터,1,1
청담역6번출구,2,1
강남자곡,4,4
대치한티,2,1
개포동,4,4
수서역사거리,2,2
코엑스아셈타워,0,1
강남차여성병원,0,1
센터필드R,0,0
도산사거리,4,1
강남세곡,4,4
대치삼성,4,1
강남아이퀘스트,0,1
언주역,0,1
한티역8번출구,2,1
신논현역3번출구,1,0
강남파이낸스센터,0,0
강남역신분당역사,3,0
삼성역,1,1
테헤란로아남타워,0,0
강남논현,1,0
삼성동,1,1
리저브도산,1,1
압구정역사3번출구,1,1
청담역,2,1
압구정현대아파트,1,1
강남청담빌딩,1,1
케이스퀘어강남,3,0
강남세곡DT,4,4
미아뉴타운,2,2
강북구청사거리,1,3
미아사거리역,1,3
수유역,1,3
미아역,2,2
수유역5번출구,1,3
서울안토,2,2
발산역사거리,1,3
마곡역,1,3
우장산역,2,2
마곡사이언스타워R,1,3
방화DT,2,2
마곡나루역,2,2
마곡GMG,1,3
가양역,2,2
화곡DT,4,4
화곡동,2,3
염창역,2,2
발산역,1,3
까치산역,2,2
마곡코엑스,2,3
염창대로,2,2
발산역5번출구,1,3
양천향교역,2,2
화곡역8번출구,2,3
강서우장산,2,2
등촌대로,2,2
마곡보타닉게이트,2,2
가양역사거리,2,2
원그로브,2,3
내발산,2,2
마곡웰튼,2,3
김포공항국내선,2,2
김포공항DT,2,4
강서NC,1,3
김포공항국제선,2,2
마곡케이스퀘어,1,3
마곡나루공원,1,3
송정역,2,2
강서구청사거리,4,4
낙성대역,2,3
관악서울대입구R,1,3
신림DT,4,4
서울대역,1,3
낙성대DT,2,3
사당,1,3
