상호명,시군구명,cluster,cluster_name
도곡공원,강남구,4,C4 비역세권
큰길타워,강남구,0,C0 오피스고소득
GS타워,강남구,0,C0 오피스고소득
강남비젼타워,강남구,3,C3 도심초밀집
도산가로수길,강남구,1,C1 상업활성
코엑스아셈타워,강남구,0,C0 오피스고소득
도산사거리,강남구,4,C4 비역세권
테헤란로아남타워,강남구,0,C0 오피스고소득
리저브도산,강남구,1,C1 상업활성
강남세곡DT,강남구,4,C4 비역세권
발산역사거리,강서구,1,C1 상업활성
우장산역,강서구,2,C2 주거생활
마곡사이언스타워R,강서구,1,C1 상업활성
방화DT,강서구,2,C2 주거생활
화곡DT,강서구,4,C4 비역세권
발산역,강서구,1,C1 상업활성
까치산역,강서구,2,C2 주거생활
발산역5번출구,강서구,1,C1 상업활성
강서우장산,강서구,2,C2 주거생활
내발산,강서구,2,C2 주거생활
김포공항DT,강서구,2,C2 주거생활
마곡나루공원,강서구,1,C1 상업활성
신림DT,관악구,4,C4 비역세권
낙성대DT,관악구,2,C2 주거생활
어린이대공원역,광진구,2,C2 주거생활
아차산역,광진구,2,C2 주거생활
구의DT,광진구,4,C4 비역세권
뚝섬한강공원,광진구,4,C4 비역세권
가산에스케이,금천구,1,C1 상업활성
독산사거리,금천구,4,C4 비역세권
가산디지털단지역,금천구,1,C1 상업활성
금천독산,금천구,4,C4 비역세권
가산디지털,금천구,3,C3 도심초밀집
마리오아울렛,금천구,3,C3 도심초밀집
가산브이타워,금천구,1,C1 상업활성
독산역,금천구,2,C2 주거생활
가산퍼블릭,금천구,1,C1 상업활성
가산현대아울렛,금천구,1,C1 상업활성
가산케이에스,금천구,1,C1 상업활성
가산어반워크,금천구,1,C1 상업활성
공릉DT,노원구,2,C2 주거생활
태릉입구역DT,노원구,1,C1 상업활성
도봉로DT,도봉구,4,C4 비역세권
보라매공원R,동작구,2,C2 주거생활
망원한강공원,마포구,4,C4 비역세권
연희DT,서대문구,4,C4 비역세권
충정타워,서대문구,2,C2 주거생활
북가좌DT,서대문구,2,C2 주거생활
강남교보타워R,서초구,1,C1 상업활성
청계산입구역,서초구,2,C2 주거생활
강남GT타워,서초구,3,C3 도심초밀집
남부순환로방배DT,서초구,4,C4 비역세권
양재하나로마트,서초구,4,C4 비역세권
대륭서초타워,서초구,1,C1 상업활성
종암DT,성북구,2,C2 주거생활
송파나루역DT,송파구,1,C1 상업활성
잠실시그마타워,송파구,1,C1 상업활성
송파방이DT,송파구,4,C4 비역세권
올림픽공원남문,송파구,4,C4 비역세권
문정법조타운 한양타워,송파구,1,C1 상업활성
송파마천사거리DT,송파구,4,C4 비역세권
목동파리공원,양천구,4,C4 비역세권
신정DT,양천구,2,C2 주거생활
신월IC DT,양천구,4,C4 비역세권
신월동DT,양천구,4,C4 비역세권
당산대로,영등포구,2,C2 주거생활
여의도공원R,영등포구,0,C0 오피스고소득
여의도ABL타워,영등포구,0,C0 오피스고소득
당산,영등포구,1,C1 상업활성
여의도한강공원,영등포구,0,C0 오피스고소득
여의도TP타워,영등포구,0,C0 오피스고소득
당산역사거리,영등포구,1,C1 상업활성
구산역,은평구,2,C2 주거생활
더북한산,은평구,4,C4 비역세권
진관DT,은평구,4,C4 비역세권
마로니에공원,종로구,1,C1 상업활성
동대문공원,중구,1,C1 상업활성
퍼시픽타워,중구,3,C3 도심초밀집
남산단암,중구,3,C3 도심초밀집
을지로삼화타워,중구,3,C3 도심초밀집
이마트타워,중구,1,C1 상업활성
동대문역사문화공원역,중구,1,C1 상업활성
명동남산,중구,1,C1 상업활성
강동구청DT,강동구,2,C2 주거생활
강동암사DT,강동구,4,C4 비역세권
올림픽공원북2문,강동구,4,C4 비역세권
이케아강동,강동구,4,C4 비역세권
구로디지털타워,구로구,1,C1 상업활성
구로오류DT,구로구,2,C2 주거생활
효창공원앞역,용산구,2,C2 주거생활
용산역써밋R,용산구,1,C1 상업활성
신용산역,용산구,1,C1 상업활성
용산파크타워,용산구,2,C2 주거생활
서울타워,용산구,4,C4 비역세권
용산아이파크몰6F,용산구,1,C1 상업활성
용산해링턴스퀘어,용산구,1,C1 상업활성
용산리첸시아,용산구,2,C2 주거생활
용산전자랜드,용산구,1,C1 상업활성
용산이마트,용산구,1,C1 상업활성
용산아이파크몰1F,용산구,1,C1 상업활성
