상호명,시군구명,위도,경도,is_starbucks,projected_cluster
역삼아레나빌딩,강남구,37.501087,127.043069,1,1
논현역사거리,강남구,37.510178,127.022223,1,1
신사역성일빌딩,강남구,37.5139309,127.0206057,1,1
국기원사거리,강남구,37.499517,127.031495,1,3
대치재경빌딩,강남구,37.494668,127.062583,1,2
봉은사역,강남구,37.515,127.063196,1,2
압구정윤성빌딩,강남구,37.5227934,127.0286009,1,1
코엑스별마당,강남구,37.51015,127.060275,1,3
삼성역섬유센터R,강남구,37.50775,127.060651,1,3
압구정R,강남구,37.5273669,127.033061,1,1
수서역R,강남구,37.48802242,127.1029799,1,2
양재강남빌딩R,강남구,37.485192,127.036685,1,1
선릉동신빌딩R,강남구,37.505321,127.050409,1,1
봉은사로선정릉,강남구,37.51131683,127.0484634,1,2
강남오거리,강남구,37.502117,127.026672,1,3
스타필드코엑스몰R,강남구,37.50999,127.061455,1,3
강남구청정문,강남구,37.51827133,127.0459595,1,2
도곡공원,강남구,37.492805,127.041309,1,4
강남R,강남구,37.497711,127.028439,1,3
대치은마사거리,강남구,37.498973,127.060172,1,4
청담영동대로,강남구,37.52275803,127.0569749,1,2
압구정,강남구,37.526283,127.02956,1,1
신사가로수,강남구,37.521933,127.022521,1,1
청담스타R,강남구,37.525216,127.041827,1,1
강남우성,강남구,37.492396,127.03091,1,0
학동사거리,강남구,37.5224751,127.0379473,1,1
대치사거리,강남구,37.503331,127.058817,1,0
포스코사거리,강남구,37.5075307,127.0574271,1,0
을지병원사거리,강남구,37.5191632,127.0286446,1,4
신사역,강남구,37.5162021,127.0207428,1,1
도곡역,강남구,37.492167,127.057398,1,2
서울세관사거리,강남구,37.514887,127.035653,1,2
청담사거리,강남구,37.52384364,127.04695,1,4
한티역,강남구,37.496801,127.055055,1,2
역삼초교사거리,강남구,37.49416922,127.0331779,1,0
코엑스몰,강남구,37.513715,127.059245,1,0
가로수길,강남구,37.5231593,127.021625,1,4
역삼대로,강남구,37.501623,127.039375,1,0
역삼포스코,강남구,37.499721,127.033582,1,0
강남대로,강남구,37.50314,127.025546,1,0
청담,강남구,37.5243631,127.0515599,1,4
삼성교,강남구,37.507794,127.06517,1,1
학동역,강남구,37.51464884,127.0307302,1,2
대치,강남구,37.49966175,127.0622171,1,4
신세계푸드마켓도곡,강남구,37.49010201,127.0550702,1,2
삼성,강남구,37.50689646,127.0557187,1,1
선릉세화빌딩,강남구,37.50377562,127.051196,1,1
압구정역,강남구,37.52674095,127.0281105,1,1
압구정로,강남구,37.52682567,127.0347762,1,1
구역삼사거리,강남구,37.49589065,127.0389092,1,0
큰길타워,강남구,37.50236693,127.0407,1,0
강남구청역,강남구,37.5165849,127.0412433,1,1
대치역,강남구,37.493554,127.061874,1,2
포이,강남구,37.47781106,127.0451411,1,4
아크플레이스,강남구,37.49971982,127.0349084,1,0
학여울역,강남구,37.49803646,127.0684943,1,2
선정릉역,강남구,37.5107549,127.0445597,1,2
삼성현대힐,강남구,37.51350444,127.0527375,1,2
GS타워,강남구,37.5018592,127.0372776,1,0
압구정미소,강남구,37.52391271,127.0280721,1,1
선릉역,강남구,37.50393894,127.0485135,1,1
코엑스사거리,강남구,37.515351,127.060109,1,0
역삼럭키,강남구,37.492209,127.039389,1,0
신압구정,강남구,37.5280933,127.0365247,1,1
아크로힐스논현,강남구,37.50901331,127.0403524,1,0
강남비젼타워,강남구,37.4964557,127.0296885,1,3
압구정로데오역,강남구,37.52656256,127.0404835,1,1
르네상스사거리,강남구,37.50268239,127.0441433,1,1
포스코,강남구,37.50576458,127.0580449,1,0
선릉로,강남구,37.50498119,127.0468081,1,0
논현힐탑,강남구,37.511685,127.032187,1,1
도산가로수길,강남구,37.5173623,127.0232957,1,1
매봉역,강남구,37.4859095,127.0452879,1,2
호림아트센터,강남구,37.522514,127.035977,1,1
청담역6번출구,강남구,37.51660208,127.0517528,1,2
강남자곡,강남구,37.47306371,127.1024473,1,4
대치한티,강남구,37.4984818,127.052066,1,2
개포동,강남구,37.48285514,127.0607152,1,4
수서역사거리,강남구,37.48740078,127.1029225,1,2
코엑스아셈타워,강남구,37.513019,127.059838,1,0
강남차여성병원,강남구,37.50640319,127.0318113,1,0
센터필드R,강남구,37.50369465,127.0417208,1,0
도산사거리,강남구,37.51966,127.0341,1,4
강남세곡,강남구,37.46727432,127.0999297,1,4
대치삼성,강남구,37.500313,127.066961,1,4
