dataset,feature,missing_count,missing_rate
seoul_cafe_clustering_features_v1,dist_nearest_subway,0,0.0
seoul_cafe_clustering_features_v1,subway_ridership_500m,0,0.0
seoul_cafe_clustering_features_v1,num_bus_stops_300m,0,0.0
seoul_cafe_clustering_features_v1,cafe_count_300m,0,0.0
seoul_cafe_clustering_features_v1,dist_nearest_starbucks,0,0.0
seoul_cafe_clustering_features_v1,num_restaurants_500m,0,0.0
starbucks_clustering_features_v1,dist_nearest_subway,0,0.0
starbucks_clustering_features_v1,subway_ridership_500m,0,0.0
starbucks_clustering_features_v1,num_bus_stops_300m,0,0.0
starbucks_clustering_features_v1,cafe_count_300m,0,0.0
starbucks_clustering_features_v1,dist_nearest_starbucks,0,0.0
starbucks_clustering_features_v1,num_restaurants_500m,0,0.0
