column,dtype,missing_count,missing_rate_pct
상호명,str,0,0.0
브랜드,str,0,0.0
is_starbucks,int64,0,0.0
위도,float64,0,0.0
경도,float64,0,0.0
시군구명,str,0,0.0
행정동코드,float64,25,0.1121
행정동명,str,681,3.0531
도로명주소,str,0,0.0
dist_nearest_subway,float64,0,0.0
num_subway_500m,int64,0,0.0
nearest_subway_ridership,float64,291,1.3046
subway_ridership_500m,float64,0,0.0
num_competing_cafes_500m,int64,0,0.0
num_restaurants_500m,int64,0,0.0
num_retail_500m,int64,0,0.0
num_convenience_500m,int64,0,0.0
avg_income,float64,181,0.8115
num_offices,float64,328,1.4705
living_population,float64,392,1.7575
land_price,float64,0,0.0
