order,column,role,group
1,상호명,id_interpretation,식별/해석
2,브랜드,id_interpretation,식별/해석
3,is_starbucks,id_interpretation,식별/해석
4,위도,id_interpretation,식별/해석
5,경도,id_interpretation,식별/해석
6,시군구명,id_interpretation,식별/해석
7,도로명주소,id_interpretation,식별/해석
8,dist_nearest_subway,model_feature,지리/교통
9,num_subway_500m,model_feature,지리/교통
10,nearest_subway_ridership,model_feature,지리/교통
11,num_bus_stops_300m,model_feature,지리/교통
12,subway_morning_peak_500m,model_feature,지리/교통
13,subway_lunch_peak_500m,model_feature,지리/교통
14,subway_evening_peak_500m,model_feature,지리/교통
15,num_restaurants_500m,model_feature,상권
16,num_retail_500m,model_feature,상권
17,num_convenience_500m,model_feature,상권
18,independent_cafe_count_500m,model_feature,상권
19,low_price_cafe_count_500m,model_feature,상권
20,other_franchise_cafe_count_500m,model_feature,상권
21,dist_nearest_starbucks,model_feature,상권
22,avg_income,model_feature,인구/통계
23,num_offices,model_feature,인구/통계
24,living_population,model_feature,인구/통계
25,land_price,model_feature,인구/통계
