feature,missing_count,missing_rate
dist_nearest_subway,0,0.0
num_subway_500m,0,0.0
nearest_subway_ridership,291,0.013046
num_bus_stops_300m,0,0.0
subway_morning_peak_500m,0,0.0
subway_lunch_peak_500m,0,0.0
subway_evening_peak_500m,0,0.0
num_restaurants_500m,0,0.0
num_retail_500m,0,0.0
num_convenience_500m,0,0.0
independent_cafe_count_500m,0,0.0
low_price_cafe_count_500m,0,0.0
other_franchise_cafe_count_500m,0,0.0
dist_nearest_starbucks,0,0.0
avg_income,181,0.008115
num_offices,328,0.014705
living_population,392,0.017575
land_price,0,0.0
