feature,count,mean,median,std,min,Q1,Q3,max,zero_count,zero_rate,skewness
dist_nearest_subway,681,0.341431,0.2725,0.307308,0.0127,0.1402,0.4425,3.0724,0,0.0,3.289291
num_subway_500m,681,1.0,1.0,0.634776,0.0,1.0,1.0,4.0,123,0.180617,0.518977
nearest_subway_ridership,673,59446.173848,46029.0,43107.702338,4235.0,28961.0,83493.0,238671.0,0,0.0,1.365557
num_bus_stops_300m,681,9.861968,9.0,4.596838,0.0,6.0,13.0,29.0,5,0.007342,0.693703
subway_morning_peak_500m,681,441008.577093,316405.0,446046.010227,0.0,120198.0,635608.0,2606832.0,119,0.174743,1.499606
subway_lunch_peak_500m,681,281017.295154,185671.0,298521.92695,0.0,73728.0,392649.0,1586750.0,119,0.174743,1.586472
subway_evening_peak_500m,681,739373.550661,484485.0,766006.346572,0.0,182991.0,1084419.0,4171883.0,119,0.174743,1.473186
num_restaurants_500m,681,527.834068,479.0,311.909886,6.0,280.0,735.0,1656.0,0,0.0,0.699732
num_retail_500m,681,431.89721,324.0,391.667372,5.0,192.0,518.0,2886.0,0,0.0,2.712894
num_convenience_500m,681,30.0837,27.0,15.564299,1.0,19.0,40.0,85.0,0,0.0,0.617344
independent_cafe_count_500m,681,75.142438,64.0,49.547974,1.0,39.0,103.0,263.0,0,0.0,1.008811
low_price_cafe_count_500m,681,4.193833,4.0,2.508929,0.0,3.0,5.0,13.0,30,0.044053,0.763934
other_franchise_cafe_count_500m,681,7.207048,6.0,5.098703,0.0,3.0,10.0,27.0,28,0.041116,0.925439
dist_nearest_starbucks,681,0.340141,0.243029,0.294381,0.009603,0.15324,0.438721,2.638043,0,0.0,2.456194
avg_income,655,3940506.683969,3607265.0,1091893.110713,2152244.0,3130657.0,4846324.5,7421305.0,0,0.0,0.650863
num_offices,651,45774.884793,15114.0,63728.541549,29.0,3005.0,62687.0,250897.0,0,0.0,1.845503
living_population,652,39123.653374,35698.5,21304.248611,5870.0,24288.0,46455.25,98668.0,0,0.0,1.315541
land_price,681,8639839.735683,6399509.0,6336621.55539,1098262.0,3864306.0,13166568.0,59244720.0,0,0.0,1.931309
