feature,count,mean,median,std,min,Q1,Q3,max,zero_count,zero_rate,skewness,dataset
subway_morning_peak_500m,22305,318799.037122,213387.0,379023.164371,0.0,0.0,464960.0,2606832.0,6546,0.293477,1.825534,all
subway_lunch_peak_500m,22305,206465.912889,120795.0,256599.96372,0.0,0.0,298401.0,1722940.0,6546,0.293477,1.846151,all
subway_evening_peak_500m,22305,538003.76633,322074.0,662081.703503,0.0,0.0,783543.0,4466485.0,6546,0.293477,1.817016,all
independent_cafe_count_500m,22305,67.520108,53.0,49.853008,0.0,31.0,92.0,281.0,28,0.001255,1.323711,all
low_price_cafe_count_500m,22305,3.625017,3.0,2.33624,0.0,2.0,5.0,15.0,1255,0.056265,0.874253,all
other_franchise_cafe_count_500m,22305,5.815288,5.0,4.698815,0.0,2.0,8.0,28.0,1309,0.058686,1.180167,all
subway_morning_peak_500m,681,441008.577093,316405.0,446046.010227,0.0,120198.0,635608.0,2606832.0,119,0.174743,1.499606,starbucks
subway_lunch_peak_500m,681,281017.295154,185671.0,298521.92695,0.0,73728.0,392649.0,1586750.0,119,0.174743,1.586472,starbucks
subway_evening_peak_500m,681,739373.550661,484485.0,766006.346572,0.0,182991.0,1084419.0,4171883.0,119,0.174743,1.473186,starbucks
independent_cafe_count_500m,681,75.142438,64.0,49.547974,1.0,39.0,103.0,263.0,0,0.0,1.008811,starbucks
low_price_cafe_count_500m,681,4.193833,4.0,2.508929,0.0,3.0,5.0,13.0,30,0.044053,0.763934,starbucks
other_franchise_cafe_count_500m,681,7.207048,6.0,5.098703,0.0,3.0,10.0,27.0,28,0.041116,0.925439,starbucks
