,dist_nearest_bus_stop,num_bus_stops_100m,num_bus_stops_300m,num_bus_stops_500m,cafe_count_300m,cafe_count_500m,cafe_count_1000m,dist_nearest_starbucks,dist_nearest_subway,num_subway_500m,subway_ridership_500m,num_competing_cafes_500m,num_restaurants_500m,num_retail_500m,num_convenience_500m
dist_nearest_bus_stop,1.0,-0.662327,-0.325873,-0.291244,-0.011002,0.035894,0.056349,-0.023744,0.108708,0.023296,0.049092,0.030344,0.011184,0.001319,-0.038604
num_bus_stops_100m,-0.662327,1.0,0.406245,0.344324,0.02791,-0.026747,-0.053297,0.013098,-0.08835,0.010948,-0.000888,-0.020807,-0.011036,-0.006918,0.035766
num_bus_stops_300m,-0.325873,0.406245,1.0,0.793404,0.313413,0.283858,0.255262,-0.186411,-0.235827,0.223262,0.243847,0.279759,0.292924,0.224804,0.321261
num_bus_stops_500m,-0.291244,0.344324,0.793404,1.0,0.360302,0.396718,0.382223,-0.207337,-0.173105,0.228206,0.283933,0.392646,0.375776,0.312866,0.423356
cafe_count_300m,-0.011002,0.02791,0.313413,0.360302,1.0,0.904901,0.742588,-0.519572,-0.301809,0.312907,0.535312,0.906598,0.867233,0.483031,0.782774
cafe_count_500m,0.035894,-0.026747,0.283858,0.396718,0.904901,1.0,0.900169,-0.530712,-0.253191,0.372923,0.618533,0.999111,0.931357,0.587343,0.841874
cafe_count_1000m,0.056349,-0.053297,0.255262,0.382223,0.742588,0.900169,1.0,-0.490633,-0.212943,0.358046,0.553024,0.895499,0.805848,0.562355,0.752839
dist_nearest_starbucks,-0.023744,0.013098,-0.186411,-0.207337,-0.519572,-0.530712,-0.490633,1.0,0.430053,-0.312932,-0.43071,-0.523289,-0.515652,-0.36948,-0.484637
dist_nearest_subway,0.108708,-0.08835,-0.235827,-0.173105,-0.301809,-0.253191,-0.212943,0.430053,1.0,-0.516562,-0.334496,-0.254353,-0.283509,-0.166427,-0.265464
num_subway_500m,0.023296,0.010948,0.223262,0.228206,0.312907,0.372923,0.358046,-0.312932,-0.516562,1.0,0.710548,0.364568,0.348802,0.35565,0.306923
subway_ridership_500m,0.049092,-0.000888,0.243847,0.283933,0.535312,0.618533,0.553024,-0.43071,-0.334496,0.710548,1.0,0.607627,0.581536,0.528841,0.556733
num_competing_cafes_500m,0.030344,-0.020807,0.279759,0.392646,0.906598,0.999111,0.895499,-0.523289,-0.254353,0.364568,0.607627,1.0,0.932836,0.577846,0.841841
num_restaurants_500m,0.011184,-0.011036,0.292924,0.375776,0.867233,0.931357,0.805848,-0.515652,-0.283509,0.348802,0.581536,0.932836,1.0,0.560491,0.870804
num_retail_500m,0.001319,-0.006918,0.224804,0.312866,0.483031,0.587343,0.562355,-0.36948,-0.166427,0.35565,0.528841,0.577846,0.560491,1.0,0.586377
num_convenience_500m,-0.038604,0.035766,0.321261,0.423356,0.782774,0.841874,0.752839,-0.484637,-0.265464,0.306923,0.556733,0.841841,0.870804,0.586377,1.0
