feature,rank_type,rank,상호명,시군구명,도로명주소,value
dist_nearest_bus_stop,top,1,더북한산,은평구,서울특별시 은평구 대서문길 24-11 (진관동),0.350308
dist_nearest_bus_stop,top,2,뚝섬한강공원,광진구,서울특별시 광진구 강변북로 2234 (자양동),0.340864
dist_nearest_bus_stop,top,3,서울웨이브아트센터,서초구,서울특별시 서초구 잠원로 145-35 (잠원동),0.333252
dist_nearest_bus_stop,top,4,연세백양로,서대문구,서울특별시 서대문구 연세로 50 (신촌동) 연세대학교,0.329925
dist_nearest_bus_stop,top,5,이대ECC,서대문구,서울특별시 서대문구 이화여대길 52 (대현동) 이화여자대학교 B415호,0.300492
dist_nearest_bus_stop,top,6,서울타워,용산구,서울특별시 용산구 남산공원길 105 (용산동2가) YTN서울타워 1층,0.235348
dist_nearest_bus_stop,top,7,송파헬리오시티,송파구,"서울특별시 송파구 송파대로 345 (가락동, 헬리오시티)",0.234805
dist_nearest_bus_stop,top,8,구파발사거리,은평구,서울특별시 은평구 진관3로 21 은평엘크루 101동 105-108호,0.228819
dist_nearest_bus_stop,top,9,도산사거리,강남구,서울특별시 강남구 언주로 727 (논현동),0.225789
dist_nearest_bus_stop,top,10,잠실르엘,송파구,서울특별시 송파구 올림픽로 329 (신천동),0.223275
dist_nearest_bus_stop,bottom,1,엔터식스,성동구,서울특별시 성동구 왕십리광장로 17 (행당동),0.002262
dist_nearest_bus_stop,bottom,2,문정법조타운 한양타워,송파구,서울특별시 송파구 법원로11길 12 (문정동),0.002573
dist_nearest_bus_stop,bottom,3,안국,종로구,서울특별시 종로구 북촌로 5-1 (재동),0.00455
dist_nearest_bus_stop,bottom,4,홍대입구역사거리R,마포구,서울특별시 마포구 양화로 125 (서교동),0.004814
dist_nearest_bus_stop,bottom,5,수서역사거리,강남구,서울특별시 강남구 광평로 280 (수서동),0.00484
dist_nearest_bus_stop,bottom,6,서초우성사거리,서초구,서울특별시 서초구 강남대로 343 (서초동),0.005045
dist_nearest_bus_stop,bottom,7,서초중앙로,서초구,서울특별시 서초구 서초중앙로 225,0.005683
dist_nearest_bus_stop,bottom,8,시청역11번출구,중구,서울특별시 중구 서소문로 129 (서소문동),0.006041
dist_nearest_bus_stop,bottom,9,서래마을입구,서초구,서울특별시 서초구 서래로 48 (반포동),0.008983
dist_nearest_bus_stop,bottom,10,동대문공원,중구,서울특별시 중구 장충단로 229 (광희동1가),0.009066
num_bus_stops_100m,top,1,망우동,중랑구,서울특별시 중랑구 망우로 407 (망우동),7.0
