dataset,label,transform,feature_a,feature_b,pearson_r,abs_r,strong_pair
non_starbucks,비스타벅스,transformed,subway_lunch_peak_500m,subway_evening_peak_500m,0.993732,0.993732,True
all,전체,transformed,subway_lunch_peak_500m,subway_evening_peak_500m,0.99368,0.99368,True
starbucks,스타벅스,transformed,subway_lunch_peak_500m,subway_evening_peak_500m,0.991455,0.991455,True
non_starbucks,비스타벅스,raw,subway_lunch_peak_500m,subway_evening_peak_500m,0.985598,0.985598,True
all,전체,raw,subway_lunch_peak_500m,subway_evening_peak_500m,0.985504,0.985504,True
starbucks,스타벅스,raw,subway_lunch_peak_500m,subway_evening_peak_500m,0.982419,0.982419,True
non_starbucks,비스타벅스,transformed,subway_morning_peak_500m,subway_evening_peak_500m,0.982266,0.982266,True
all,전체,transformed,subway_morning_peak_500m,subway_evening_peak_500m,0.982262,0.982262,True
starbucks,스타벅스,transformed,subway_morning_peak_500m,subway_evening_peak_500m,0.980232,0.980232,True
non_starbucks,비스타벅스,transformed,subway_morning_peak_500m,subway_lunch_peak_500m,0.967706,0.967706,True
all,전체,transformed,subway_morning_peak_500m,subway_lunch_peak_500m,0.967546,0.967546,True
starbucks,스타벅스,raw,subway_morning_peak_500m,subway_evening_peak_500m,0.962576,0.962576,True
starbucks,스타벅스,transformed,subway_morning_peak_500m,subway_lunch_peak_500m,0.959319,0.959319,True
all,전체,raw,subway_morning_peak_500m,subway_evening_peak_500m,0.958811,0.958811,True
non_starbucks,비스타벅스,raw,subway_morning_peak_500m,subway_evening_peak_500m,0.958526,0.958526,True
all,전체,raw,subway_morning_peak_500m,subway_lunch_peak_500m,0.924489,0.924489,True
non_starbucks,비스타벅스,raw,subway_morning_peak_500m,subway_lunch_peak_500m,0.924463,0.924463,True
starbucks,스타벅스,transformed,num_restaurants_500m,independent_cafe_count_500m,0.922491,0.922491,True
starbucks,스타벅스,raw,num_restaurants_500m,independent_cafe_count_500m,0.922491,0.922491,True
starbucks,스타벅스,raw,subway_morning_peak_500m,subway_lunch_peak_500m,0.920165,0.920165,True
all,전체,raw,num_restaurants_500m,independent_cafe_count_500m,0.916415,0.916415,True
all,전체,transformed,num_restaurants_500m,independent_cafe_count_500m,0.916415,0.916415,True
non_starbucks,비스타벅스,transformed,num_restaurants_500m,independent_cafe_count_500m,0.916185,0.916185,True
non_starbucks,비스타벅스,raw,num_restaurants_500m,independent_cafe_count_500m,0.916185,0.916185,True
starbucks,스타벅스,raw,num_restaurants_500m,num_convenience_500m,0.870804,0.870804,True
starbucks,스타벅스,transformed,num_restaurants_500m,num_convenience_500m,0.870804,0.870804,True
all,전체,transformed,num_restaurants_500m,num_convenience_500m,0.848082,0.848082,True
all,전체,raw,num_restaurants_500m,num_convenience_500m,0.848082,0.848082,True
non_starbucks,비스타벅스,raw,num_restaurants_500m,num_convenience_500m,0.847154,0.847154,True
non_starbucks,비스타벅스,transformed,num_restaurants_500m,num_convenience_500m,0.847154,0.847154,True
starbucks,스타벅스,transformed,num_convenience_500m,independent_cafe_count_500m,0.819972,0.819972,True
starbucks,스타벅스,raw,num_convenience_500m,independent_cafe_count_500m,0.819972,0.819972,True
non_starbucks,비스타벅스,transformed,num_subway_500m,subway_morning_peak_500m,0.779623,0.779623,True
all,전체,transformed,num_subway_500m,subway_morning_peak_500m,0.779407,0.779407,True
non_starbucks,비스타벅스,transformed,num_subway_500m,subway_lunch_peak_500m,0.76232,0.76232,True
all,전체,transformed,num_subway_500m,subway_lunch_peak_500m,0.762137,0.762137,True
all,전체,raw,num_convenience_500m,independent_cafe_count_500m,0.761302,0.761302,True
all,전체,transformed,num_convenience_500m,independent_cafe_count_500m,0.761302,0.761302,True
starbucks,스타벅스,raw,num_offices,living_population,0.760014,0.760014,True
non_starbucks,비스타벅스,transformed,num_subway_500m,subway_evening_peak_500m,0.759698,0.759698,True
all,전체,transformed,num_subway_500m,subway_evening_peak_500m,0.759506,0.759506,True
non_starbucks,비스타벅스,transformed,num_convenience_500m,independent_cafe_count_500m,0.759224,0.759224,True
non_starbucks,비스타벅스,raw,num_convenience_500m,independent_cafe_count_500m,0.759224,0.759224,True
starbucks,스타벅스,raw,num_convenience_500m,other_franchise_cafe_count_500m,0.757945,0.757945,True
starbucks,스타벅스,transformed,num_convenience_500m,other_franchise_cafe_count_500m,0.757945,0.757945,True
starbucks,스타벅스,transformed,num_convenience_500m,low_price_cafe_count_500m,0.75488,0.75488,True
starbucks,스타벅스,raw,num_convenience_500m,low_price_cafe_count_500m,0.75488,0.75488,True
starbucks,스타벅스,transformed,num_subway_500m,subway_morning_peak_500m,0.752956,0.752956,True
starbucks,스타벅스,raw,num_restaurants_500m,other_franchise_cafe_count_500m,0.751109,0.751109,True
starbucks,스타벅스,transformed,num_restaurants_500m,other_franchise_cafe_count_500m,0.751109,0.751109,True
starbucks,스타벅스,transformed,num_restaurants_500m,low_price_cafe_count_500m,0.742591,0.742591,True
starbucks,스타벅스,raw,num_restaurants_500m,low_price_cafe_count_500m,0.742591,0.742591,True
starbucks,스타벅스,transformed,num_subway_500m,subway_lunch_peak_500m,0.735438,0.735438,True
non_starbucks,비스타벅스,transformed,num_restaurants_500m,num_retail_500m,0.733538,0.733538,True
all,전체,transformed,num_restaurants_500m,num_retail_500m,0.732927,0.732927,True
starbucks,스타벅스,transformed,num_subway_500m,subway_evening_peak_500m,0.732037,0.732037,True
all,전체,raw,num_offices,living_population,0.732008,0.732008,True
all,전체,transformed,num_convenience_500m,other_franchise_cafe_count_500m,0.730721,0.730721,True
all,전체,raw,num_convenience_500m,other_franchise_cafe_count_500m,0.730721,0.730721,True
non_starbucks,비스타벅스,raw,num_offices,living_population,0.730334,0.730334,True
all,전체,raw,num_convenience_500m,low_price_cafe_count_500m,0.729613,0.729613,True
all,전체,transformed,num_convenience_500m,low_price_cafe_count_500m,0.729613,0.729613,True
non_starbucks,비스타벅스,raw,num_convenience_500m,other_franchise_cafe_count_500m,0.729249,0.729249,True
non_starbucks,비스타벅스,transformed,num_convenience_500m,other_franchise_cafe_count_500m,0.729249,0.729249,True
non_starbucks,비스타벅스,transformed,num_convenience_500m,low_price_cafe_count_500m,0.72825,0.72825,True
non_starbucks,비스타벅스,raw,num_convenience_500m,low_price_cafe_count_500m,0.72825,0.72825,True
all,전체,transformed,num_restaurants_500m,low_price_cafe_count_500m,0.727144,0.727144,True
all,전체,raw,num_restaurants_500m,low_price_cafe_count_500m,0.727144,0.727144,True
non_starbucks,비스타벅스,raw,num_restaurants_500m,low_price_cafe_count_500m,0.726253,0.726253,True
non_starbucks,비스타벅스,transformed,num_restaurants_500m,low_price_cafe_count_500m,0.726253,0.726253,True
non_starbucks,비스타벅스,transformed,num_retail_500m,num_convenience_500m,0.716698,0.716698,True
all,전체,transformed,num_retail_500m,num_convenience_500m,0.716614,0.716614,True
starbucks,스타벅스,raw,independent_cafe_count_500m,low_price_cafe_count_500m,0.712901,0.712901,True
starbucks,스타벅스,transformed,independent_cafe_count_500m,low_price_cafe_count_500m,0.712901,0.712901,True
all,전체,raw,num_restaurants_500m,other_franchise_cafe_count_500m,0.711908,0.711908,True
all,전체,transformed,num_restaurants_500m,other_franchise_cafe_count_500m,0.711908,0.711908,True
non_starbucks,비스타벅스,transformed,num_restaurants_500m,other_franchise_cafe_count_500m,0.710164,0.710164,True
non_starbucks,비스타벅스,raw,num_restaurants_500m,other_franchise_cafe_count_500m,0.710164,0.710164,True
starbucks,스타벅스,transformed,num_restaurants_500m,num_retail_500m,0.706697,0.706697,True
starbucks,스타벅스,transformed,num_retail_500m,num_convenience_500m,0.705422,0.705422,True
starbucks,스타벅스,transformed,num_offices,land_price,0.70456,0.70456,True
starbucks,스타벅스,raw,independent_cafe_count_500m,other_franchise_cafe_count_500m,0.702782,0.702782,True
starbucks,스타벅스,transformed,independent_cafe_count_500m,other_franchise_cafe_count_500m,0.702782,0.702782,True
all,전체,transformed,num_offices,land_price,0.681305,0.681305,False
non_starbucks,비스타벅스,transformed,num_offices,land_price,0.679578,0.679578,False
starbucks,스타벅스,raw,num_subway_500m,subway_morning_peak_500m,0.66365,0.66365,False
non_starbucks,비스타벅스,transformed,dist_nearest_subway,num_subway_500m,-0.654104,0.654104,False
starbucks,스타벅스,transformed,num_retail_500m,independent_cafe_count_500m,0.652977,0.652977,False
all,전체,transformed,dist_nearest_subway,num_subway_500m,-0.651444,0.651444,False
starbucks,스타벅스,raw,low_price_cafe_count_500m,other_franchise_cafe_count_500m,0.645457,0.645457,False
starbucks,스타벅스,transformed,low_price_cafe_count_500m,other_franchise_cafe_count_500m,0.645457,0.645457,False
all,전체,raw,low_price_cafe_count_500m,other_franchise_cafe_count_500m,0.644571,0.644571,False
all,전체,transformed,low_price_cafe_count_500m,other_franchise_cafe_count_500m,0.644571,0.644571,False
non_starbucks,비스타벅스,transformed,low_price_cafe_count_500m,other_franchise_cafe_count_500m,0.64373,0.64373,False
non_starbucks,비스타벅스,raw,low_price_cafe_count_500m,other_franchise_cafe_count_500m,0.64373,0.64373,False
all,전체,raw,num_subway_500m,subway_morning_peak_500m,0.6419,0.6419,False
non_starbucks,비스타벅스,raw,num_subway_500m,subway_morning_peak_500m,0.640475,0.640475,False
starbucks,스타벅스,raw,num_subway_500m,subway_evening_peak_500m,0.636185,0.636185,False
starbucks,스타벅스,raw,num_subway_500m,subway_lunch_peak_500m,0.635539,0.635539,False
all,전체,transformed,num_retail_500m,independent_cafe_count_500m,0.63403,0.63403,False
all,전체,transformed,independent_cafe_count_500m,low_price_cafe_count_500m,0.63348,0.63348,False
all,전체,raw,independent_cafe_count_500m,low_price_cafe_count_500m,0.63348,0.63348,False
non_starbucks,비스타벅스,transformed,num_retail_500m,independent_cafe_count_500m,0.633113,0.633113,False
non_starbucks,비스타벅스,transformed,independent_cafe_count_500m,low_price_cafe_count_500m,0.630512,0.630512,False
non_starbucks,비스타벅스,raw,independent_cafe_count_500m,low_price_cafe_count_500m,0.630512,0.630512,False
non_starbucks,비스타벅스,raw,dist_nearest_subway,num_subway_500m,-0.626388,0.626388,False
non_starbucks,비스타벅스,transformed,dist_nearest_subway,subway_morning_peak_500m,-0.626168,0.626168,False
non_starbucks,비스타벅스,raw,num_restaurants_500m,num_retail_500m,0.6256,0.6256,False
all,전체,transformed,dist_nearest_subway,subway_morning_peak_500m,-0.625299,0.625299,False
all,전체,raw,dist_nearest_subway,num_subway_500m,-0.624086,0.624086,False
all,전체,raw,num_restaurants_500m,num_retail_500m,0.62277,0.62277,False
starbucks,스타벅스,raw,nearest_subway_ridership,subway_evening_peak_500m,0.619309,0.619309,False
all,전체,transformed,num_retail_500m,low_price_cafe_count_500m,0.615489,0.615489,False
non_starbucks,비스타벅스,transformed,num_retail_500m,low_price_cafe_count_500m,0.615054,0.615054,False
all,전체,raw,num_subway_500m,subway_evening_peak_500m,0.613632,0.613632,False
all,전체,raw,num_subway_500m,subway_lunch_peak_500m,0.613491,0.613491,False
non_starbucks,비스타벅스,raw,num_subway_500m,subway_evening_peak_500m,0.612068,0.612068,False
non_starbucks,비스타벅스,raw,num_subway_500m,subway_lunch_peak_500m,0.612005,0.612005,False
starbucks,스타벅스,transformed,num_retail_500m,low_price_cafe_count_500m,0.611673,0.611673,False
non_starbucks,비스타벅스,transformed,dist_nearest_subway,subway_lunch_peak_500m,-0.609746,0.609746,False
all,전체,transformed,dist_nearest_subway,subway_lunch_peak_500m,-0.608943,0.608943,False
