dataset,label,feature,group,count,missing_count,missing_rate,mean,median,std,min,p01,p05,q1,q3,p95,p99,max,zero_count,zero_rate,skewness,iqr,iqr_lower_bound,iqr_upper_bound,iqr_outlier_count,iqr_outlier_rate
all,전체,dist_nearest_subway,transport,22305,0,0.0,0.431125,0.3637,0.311729,0.0017,0.041008,0.0893,0.2233,0.5493,1.02728,1.531784,3.2369,0,0.0,2.228122,0.326,-0.2657,1.0383,1076,0.04824
all,전체,num_subway_500m,transport,22305,0,0.0,0.820309,1.0,0.646485,0.0,0.0,0.0,0.0,1.0,2.0,2.0,4.0,6827,0.306075,0.399367,1.0,-1.5,2.5,174,0.007801
all,전체,nearest_subway_ridership,transport,22305,0,0.0,52723.378346,38747.0,43363.185405,2665.0,4980.0,9011.0,22430.0,69204.0,128658.0,196027.0,238671.0,0,0.0,1.767353,46774.0,-47731.0,139365.0,1111,0.049809
all,전체,num_bus_stops_300m,transport,22305,0,0.0,9.085855,9.0,4.389171,0.0,1.0,3.0,6.0,12.0,17.0,21.0,32.0,216,0.009684,0.636079,6.0,-3.0,21.0,178,0.00798
all,전체,subway_morning_peak_500m,subway_peak,22305,0,0.0,318799.037122,213387.0,379023.164371,0.0,0.0,0.0,0.0,464960.0,1090057.0,1675579.0,2606832.0,6546,0.293477,1.825534,464960.0,-697440.0,1162400.0,931,0.04174
all,전체,subway_lunch_peak_500m,subway_peak,22305,0,0.0,206465.912889,120795.0,256599.96372,0.0,0.0,0.0,0.0,298401.0,745022.0,1037565.0,1722940.0,6546,0.293477,1.846151,298401.0,-447601.5,746002.5,1084,0.048599
all,전체,subway_evening_peak_500m,subway_peak,22305,0,0.0,538003.76633,322074.0,662081.703503,0.0,0.0,0.0,0.0,783543.0,1999586.0,2661957.0,4466485.0,6546,0.293477,1.817016,783543.0,-1175314.5,1958857.5,1132,0.050751
all,전체,num_restaurants_500m,commerce,22305,0,0.0,472.067743,411.0,300.598597,1.0,29.0,84.0,247.0,651.0,1054.0,1389.92,1670.0,0,0.0,0.982134,404.0,-359.0,1257.0,490,0.021968
all,전체,num_retail_500m,commerce,22305,0,0.0,355.920421,282.0,302.205798,0.0,26.0,70.0,179.0,427.0,887.8,1712.0,2890.0,1,4.5e-05,3.025629,248.0,-193.0,799.0,1355,0.060749
all,전체,num_convenience_500m,commerce,22305,0,0.0,27.227258,25.0,13.925602,0.0,3.0,8.0,17.0,35.0,54.0,65.0,88.0,34,0.001524,0.747622,18.0,-10.0,62.0,346,0.015512
