dataset,label,feature,group,q1,q3,iqr,iqr_lower_bound,iqr_upper_bound,iqr_outlier_count,iqr_outlier_rate,skewness
all,전체,dist_nearest_subway,transport,0.2233,0.5493,0.326,-0.2657,1.0383,1076,0.04824,2.228122
all,전체,num_subway_500m,transport,0.0,1.0,1.0,-1.5,2.5,174,0.007801,0.399367
all,전체,nearest_subway_ridership,transport,22430.0,69204.0,46774.0,-47731.0,139365.0,1111,0.049809,1.767353
all,전체,num_bus_stops_300m,transport,6.0,12.0,6.0,-3.0,21.0,178,0.00798,0.636079
all,전체,subway_morning_peak_500m,subway_peak,0.0,464960.0,464960.0,-697440.0,1162400.0,931,0.04174,1.825534
all,전체,subway_lunch_peak_500m,subway_peak,0.0,298401.0,298401.0,-447601.5,746002.5,1084,0.048599,1.846151
all,전체,subway_evening_peak_500m,subway_peak,0.0,783543.0,783543.0,-1175314.5,1958857.5,1132,0.050751,1.817016
all,전체,num_restaurants_500m,commerce,247.0,651.0,404.0,-359.0,1257.0,490,0.021968,0.982134
all,전체,num_retail_500m,commerce,179.0,427.0,248.0,-193.0,799.0,1355,0.060749,3.025629
all,전체,num_convenience_500m,commerce,17.0,35.0,18.0,-10.0,62.0,346,0.015512,0.747622
all,전체,independent_cafe_count_500m,cafe_competition,31.0,92.0,61.0,-60.5,183.5,885,0.039677,1.323711
all,전체,low_price_cafe_count_500m,cafe_competition,2.0,5.0,3.0,-2.5,9.5,453,0.020309,0.874253
all,전체,other_franchise_cafe_count_500m,cafe_competition,2.0,8.0,6.0,-7.0,17.0,624,0.027976,1.180167
all,전체,dist_nearest_starbucks,cafe_competition,0.127046,0.444926,0.31788,-0.349774,0.921746,942,0.042233,1.985233
all,전체,avg_income,demographic_economic,2863708.0,4051438.0,1187730.0,1082113.0,5833033.0,438,0.019637,1.01852
all,전체,num_offices,demographic_economic,1871.0,27674.0,25803.0,-36833.5,66378.5,2800,0.125532,2.714089
all,전체,living_population,demographic_economic,19485.0,40957.0,21472.0,-12723.0,73165.0,822,0.036853,1.500025
all,전체,land_price,demographic_economic,3433797.0,8486933.0,5053136.0,-4145907.0,16066637.0,1259,0.056445,3.597784
starbucks,스타벅스,dist_nearest_subway,transport,0.1402,0.4425,0.3023,-0.31325,0.89595,30,0.044053,3.289291
starbucks,스타벅스,num_subway_500m,transport,1.0,1.0,0.0,1.0,1.0,233,0.342144,0.518977
starbucks,스타벅스,nearest_subway_ridership,transport,28961.0,83745.0,54784.0,-53215.0,165921.0,42,0.061674,1.504531
starbucks,스타벅스,num_bus_stops_300m,transport,6.0,13.0,7.0,-4.5,23.5,4,0.005874,0.693703
starbucks,스타벅스,subway_morning_peak_500m,subway_peak,120198.0,635608.0,515410.0,-652917.0,1408723.0,33,0.048458,1.499606
