dataset,label,feature,transform,raw_skewness,transformed_skewness
all,전체,dist_nearest_subway,log1p,2.228122,1.124288
all,전체,num_subway_500m,raw,0.399367,0.399367
all,전체,nearest_subway_ridership,log1p,1.767353,-0.225914
all,전체,num_bus_stops_300m,raw,0.636079,0.636079
all,전체,subway_morning_peak_500m,sqrt,1.825534,0.311516
all,전체,subway_lunch_peak_500m,sqrt,1.846151,0.416863
all,전체,subway_evening_peak_500m,sqrt,1.817016,0.393803
all,전체,num_restaurants_500m,raw,0.982134,0.982134
all,전체,num_retail_500m,log1p,3.025629,-0.66344
all,전체,num_convenience_500m,raw,0.747622,0.747622
all,전체,independent_cafe_count_500m,raw,1.323711,1.323711
all,전체,low_price_cafe_count_500m,raw,0.874253,0.874253
all,전체,other_franchise_cafe_count_500m,raw,1.180167,1.180167
all,전체,dist_nearest_starbucks,log1p,1.985233,1.175191
all,전체,avg_income,log1p,1.01852,0.528116
all,전체,num_offices,log1p,2.714089,-0.030632
all,전체,living_population,log1p,1.500025,-0.021178
all,전체,land_price,log1p,3.597784,0.472965
starbucks,스타벅스,dist_nearest_subway,log1p,3.289291,1.631427
starbucks,스타벅스,num_subway_500m,raw,0.518977,0.518977
starbucks,스타벅스,nearest_subway_ridership,log1p,1.504531,-0.364137
starbucks,스타벅스,num_bus_stops_300m,raw,0.693703,0.693703
starbucks,스타벅스,subway_morning_peak_500m,sqrt,1.499606,0.107849
starbucks,스타벅스,subway_lunch_peak_500m,sqrt,1.586472,0.223826
starbucks,스타벅스,subway_evening_peak_500m,sqrt,1.473186,0.159906
starbucks,스타벅스,num_restaurants_500m,raw,0.699732,0.699732
starbucks,스타벅스,num_retail_500m,log1p,2.712894,-0.492714
starbucks,스타벅스,num_convenience_500m,raw,0.617344,0.617344
starbucks,스타벅스,independent_cafe_count_500m,raw,1.008811,1.008811
starbucks,스타벅스,low_price_cafe_count_500m,raw,0.763934,0.763934
starbucks,스타벅스,other_franchise_cafe_count_500m,raw,0.925439,0.925439
starbucks,스타벅스,dist_nearest_starbucks,log1p,2.456194,1.514916
starbucks,스타벅스,avg_income,log1p,0.657224,0.179788
starbucks,스타벅스,num_offices,log1p,1.894875,-0.330502
starbucks,스타벅스,living_population,log1p,1.340151,-0.147709
starbucks,스타벅스,land_price,log1p,1.931309,0.141743
non_starbucks,비스타벅스,dist_nearest_subway,log1p,2.205286,1.115808
non_starbucks,비스타벅스,num_subway_500m,raw,0.397604,0.397604
non_starbucks,비스타벅스,nearest_subway_ridership,log1p,1.777504,-0.22169
non_starbucks,비스타벅스,num_bus_stops_300m,raw,0.6331,0.6331
non_starbucks,비스타벅스,subway_morning_peak_500m,sqrt,1.835534,0.317758
non_starbucks,비스타벅스,subway_lunch_peak_500m,sqrt,1.853429,0.423489
non_starbucks,비스타벅스,subway_evening_peak_500m,sqrt,1.828952,0.401563
non_starbucks,비스타벅스,num_restaurants_500m,raw,0.992155,0.992155
non_starbucks,비스타벅스,num_retail_500m,log1p,3.024026,-0.673946
non_starbucks,비스타벅스,num_convenience_500m,raw,0.749163,0.749163
non_starbucks,비스타벅스,independent_cafe_count_500m,raw,1.335085,1.335085
non_starbucks,비스타벅스,low_price_cafe_count_500m,raw,0.87682,0.87682
non_starbucks,비스타벅스,other_franchise_cafe_count_500m,raw,1.189214,1.189214
non_starbucks,비스타벅스,dist_nearest_starbucks,log1p,1.969099,1.16544
non_starbucks,비스타벅스,avg_income,log1p,1.028346,0.53747
non_starbucks,비스타벅스,num_offices,log1p,2.750389,-0.023901
non_starbucks,비스타벅스,living_population,log1p,1.505505,-0.016887
non_starbucks,비스타벅스,land_price,log1p,3.671505,0.482834
