feature,group,all_mean,starbucks_mean,non_starbucks_mean,mean_diff_starbucks_minus_non,mean_ratio_starbucks_to_non,all_median,starbucks_median,non_starbucks_median,median_diff_starbucks_minus_non,smd_starbucks_vs_non,ks_statistic,ks_pvalue,direction,abs_smd
avg_income,demographic_economic,3548764.77709,3925405.973568,3536903.296569,388502.677,1.109843,3253972.0,3607265.0,3245251.0,362014.0,0.38175,0.1747,0.0,starbucks_higher,0.38175
subway_morning_peak_500m,subway_peak,318799.037122,441008.577093,314950.318257,126058.258835,1.400248,213387.0,316405.0,211499.0,104906.0,0.305557,0.145808,0.0,starbucks_higher,0.305557
dist_nearest_subway,transport,0.431125,0.341431,0.433949,-0.092518,0.7868,0.3637,0.2725,0.36675,-0.09425,-0.299036,0.177874,0.0,starbucks_lower,0.299036
other_franchise_cafe_count_500m,cafe_competition,5.815288,7.207048,5.771458,1.435591,1.24874,5.0,6.0,5.0,1.0,0.293373,0.134353,0.0,starbucks_higher,0.293373
subway_evening_peak_500m,subway_peak,538003.76633,739373.550661,531662.070847,207711.479814,1.390683,322074.0,484485.0,319255.0,165230.0,0.290975,0.144856,0.0,starbucks_higher,0.290975
num_offices,demographic_economic,28458.086169,44356.311307,27957.40677,16398.904537,1.586567,5670.0,14874.0,5425.0,9449.0,0.290546,0.152944,0.0,starbucks_higher,0.290546
num_subway_500m,transport,0.820309,1.0,0.81465,0.18535,1.22752,1.0,1.0,1.0,0.0,0.28941,0.129409,0.0,similar_median,0.28941
subway_lunch_peak_500m,subway_peak,206465.912889,281017.295154,204118.082177,76899.212977,1.376739,120795.0,185671.0,119374.0,66297.0,0.277081,0.149089,0.0,starbucks_higher,0.277081
living_population,demographic_economic,33507.912396,38870.660793,33339.02451,5531.636283,1.165921,28550.0,35571.0,28142.0,7429.0,0.275721,0.143718,0.0,starbucks_higher,0.275721
land_price,demographic_economic,7107929.560771,8639839.735683,7059685.441778,1580154.293905,1.223828,5072899.0,6399509.0,5035104.0,1364405.0,0.259973,0.13931,0.0,starbucks_higher,0.259973
low_price_cafe_count_500m,cafe_competition,3.625017,4.193833,3.607103,0.586729,1.162659,3.0,4.0,3.0,1.0,0.242415,0.104953,1e-06,starbucks_higher,0.242415
num_retail_500m,commerce,355.920421,431.89721,353.527701,78.369509,1.221679,282.0,324.0,281.0,43.0,0.225019,0.104809,1e-06,starbucks_higher,0.225019
num_convenience_500m,commerce,27.227258,30.0837,27.137301,2.946399,1.108574,25.0,27.0,25.0,2.0,0.199924,0.087851,7e-05,starbucks_higher,0.199924
num_restaurants_500m,commerce,472.067743,527.834068,470.311506,57.522562,1.122307,411.0,479.0,409.0,70.0,0.187952,0.104523,1e-06,starbucks_higher,0.187952
nearest_subway_ridership,transport,52723.378346,60746.098385,52470.720542,8275.377843,1.157714,38747.0,46029.0,38128.0,7901.0,0.185005,0.101132,2e-06,starbucks_higher,0.185005
num_bus_stops_300m,transport,9.085855,9.861968,9.061413,0.800554,1.088348,9.0,9.0,9.0,0.0,0.178301,0.065968,0.006104,similar_median,0.178301
independent_cafe_count_500m,cafe_competition,67.520108,75.142438,67.280059,7.862378,1.11686,53.0,64.0,53.0,11.0,0.158208,0.10495,1e-06,starbucks_higher,0.158208
dist_nearest_starbucks,cafe_competition,0.326446,0.340141,0.326015,0.014127,1.043331,0.244757,0.243029,0.244771,-0.001742,0.048697,0.090807,3.5e-05,starbucks_lower,0.048697
