,dist_nearest_subway,num_subway_500m,nearest_subway_ridership,subway_ridership_500m,num_competing_cafes_500m,num_restaurants_500m,num_retail_500m,num_convenience_500m,avg_income,num_offices,living_population,land_price
dist_nearest_subway,1.0,-0.4909,-0.1106,-0.4426,-0.1977,-0.2181,-0.1694,-0.1992,0.0749,-0.0134,0.0388,-0.0763
num_subway_500m,-0.4909,1.0,0.1558,0.7257,0.3452,0.3289,0.2923,0.2816,0.0311,0.1918,0.0096,0.2482
nearest_subway_ridership,-0.1106,0.1558,1.0,0.6938,0.6335,0.6218,0.6089,0.6057,0.0653,0.3863,0.3122,0.3445
subway_ridership_500m,-0.4426,0.7257,0.6938,1.0,0.6096,0.6047,0.5579,0.5545,0.0774,0.3536,0.2068,0.3562
num_competing_cafes_500m,-0.1977,0.3452,0.6335,0.6096,1.0,0.9337,0.7088,0.8337,0.0853,0.537,0.3489,0.5288
num_restaurants_500m,-0.2181,0.3289,0.6218,0.6047,0.9337,1.0,0.76,0.8673,0.0139,0.4441,0.3213,0.4742
num_retail_500m,-0.1694,0.2923,0.6089,0.5579,0.7088,0.76,1.0,0.7121,0.054,0.4294,0.2688,0.4557
num_convenience_500m,-0.1992,0.2816,0.6057,0.5545,0.8337,0.8673,0.7121,1.0,-0.0978,0.3809,0.3109,0.4088
avg_income,0.0749,0.0311,0.0653,0.0774,0.0853,0.0139,0.054,-0.0978,1.0,0.5066,0.2594,0.5542
num_offices,-0.0134,0.1918,0.3863,0.3536,0.537,0.4441,0.4294,0.3809,0.5066,1.0,0.5965,0.7095
living_population,0.0388,0.0096,0.3122,0.2068,0.3489,0.3213,0.2688,0.3109,0.2594,0.5965,1.0,0.3568
land_price,-0.0763,0.2482,0.3445,0.3562,0.5288,0.4742,0.4557,0.4088,0.5542,0.7095,0.3568,1.0
