feature,lower_bound,upper_bound,outlier_count,outlier_rate,outlier_direction,상호명,시군구명,도로명주소,value
dist_nearest_subway,-0.3133,0.896,30,0.0441,high,더북한산,은평구,서울특별시 은평구 대서문길 24-11 (진관동),3.0724
dist_nearest_subway,-0.3133,0.896,30,0.0441,high,종로평창동,종로구,서울특별시 종로구 평창12길 3 (평창동),2.818
dist_nearest_subway,-0.3133,0.896,30,0.0441,high,강남세곡,강남구,서울특별시 강남구 헌릉로569길 18 (세곡동),2.2068
dist_nearest_subway,-0.3133,0.896,30,0.0441,high,진관DT,은평구,서울특별시 은평구 연서로 645 (진관동),1.9738
dist_nearest_subway,-0.3133,0.896,30,0.0441,high,강동강일,강동구,서울특별시 강동구 아리수로93나길 54 (강일동),1.6374
dist_nearest_subway,-0.3133,0.896,30,0.0441,high,강남자곡,강남구,서울특별시 강남구 자곡로 172 (자곡동) 107~109호,1.5594
dist_nearest_subway,-0.3133,0.896,30,0.0441,high,연희DT,서대문구,서울특별시 서대문구 연희로 144 (연희동),1.51
dist_nearest_subway,-0.3133,0.896,30,0.0441,high,송파위례,송파구,"서울특별시 송파구 위례광장로 230 (장지동, 위례2차아이파크)",1.4978
dist_nearest_subway,-0.3133,0.896,30,0.0441,high,서초우면,서초구,서울특별시 서초구 태봉로 62 (우면동),1.3562
dist_nearest_subway,-0.3133,0.896,30,0.0441,high,장안사거리,동대문구,서울특별시 동대문구 답십리로 267 (장안동),1.3438
dist_nearest_subway,-0.3133,0.896,30,0.0441,high,신월IC DT,양천구,서울특별시 양천구 남부순환로 430 (신월동),1.3015
dist_nearest_subway,-0.3133,0.896,30,0.0441,high,이케아강동,강동구,서울특별시 강동구 고덕비즈밸리로 51 (고덕동),1.2867
dist_nearest_subway,-0.3133,0.896,30,0.0441,high,명지대,서대문구,서울특별시 서대문구 거북골로 34 (남가좌동),1.2769
